from,to,n
Theodore H. White,Richard M. Nixon,15
Lester Young,Dizzy Gillespie,15
Virgil Thomson,Aaron Copland,15
Lyndon B. Johnson,Earl Warren,15
Marlon Brando,Katharine Hepburn,15
Ronald Reagan,James A. Baker III,15
Mark Rothko,Barnett Newman,15
Gregory Corso,Allen Ginsberg,15
Spiro T. Agnew,Ronald Reagan,15
Humphrey Bogart,Edward G. Robinson,15
Jimmy Carter,Barry Goldwater,15
Yitzhak Rabin,Shimon Peres,15
Woody Allen,Barbra Streisand,15
Thurgood Marshall,Lyndon B. Johnson,15
Wilt Chamberlain,Jerry West,15
Doris Day,Bing Crosby,15
Sam Snead,Byron Nelson,15
Stan Getz,Charlie Parker,15
Richard Nixon,John F. Kennedy,15
Dwight D. Eisenhower,Douglas MacArthur,15
Elizabeth Taylor,Bette Davis,15
Winston Churchill,John F. Kennedy,15
Johnny Carson,David Letterman,15
Herbert Hoover,Franklin D. Roosevelt,15
Jack Benny,Bing Crosby,15
Bobby Jones,Ben Hogan,15
Sarah Vaughan,Benny Goodman,15
Katharine Hepburn,Humphrey Bogart,15
John F. Kennedy,Dean Rusk,15
Glenn Miller,Benny Goodman,15
Michael Schwerner,James Chaney,15
Peggy Lee,Benny Goodman,15
George W. Bush,Barack Obama,15
Salvador Allende,Augusto Pinochet,15
Thurgood Marshall,Richard M. Nixon,15
Joseph R. McCarthy,Harry S. Truman,15
Ku Klux Klan,Andrew Goodman,15
Katharine Hepburn,Bette Davis,15
David N. Dinkins,Abraham D. Beame,15
Lou Gehrig,Joe DiMaggio,15
Dwight D. Eisenhower,Barry Goldwater,15
Hubert H. Humphrey,Dwight D. Eisenhower,15
Sam Rayburn,John F. Kennedy,15
James Chaney,Andrew Goodman,15
Marilyn Monroe,Arthur Miller,15
Paul VI,John XXIII,15
Paul McCartney,George Harrison,15
Paul Newman,Marlon Brando,15
Jimi Hendrix,Eric Clapton,15
Max Roach,Charles Mingus,15
