from,to
Andrzej Wajda,Akira Kurosawa
Saul Levine,David Levine
Jonathan Max Mann,Mobutu Sese Seko
Julius H. Weitzner,Peter Paul Rubens
Peter Shaffer,Alec McCowen
John E. Taylor,Iris Chang
Roy Grutman,Doris Duke
Warren Brandt,Max Beckmann
George Murphy,Ronald Reagan
Jake Eberts,Ralph Richardson
Kenneth Burke,Thomas Mann
Leo Steiner,Joel Siegel
Blanche Thebom,Eleanor Steber
Manny Albam,Dizzy Gillespie
Jimmy Ellis,Floyd Patterson
Jack Germond,George Bush
Jane Greer,Jim Backus
Kenneth S. Axelson,Hugh L. Carey
Virginia Foster Durr,Rosa Parks
Ruth Gordon,Garson Kanin
Howard Hodgkin,Robert Hughes
Jack Beal,Roy Lichtenstein
Bob Wolff,Babe Ruth
Herbert T. F. Cahoon,John Steinbeck
Otis Blackwell,John Davenport
Orson Welles,Pauline Kael
Evelyn Sharp,Peter Jay Sharp
Dan Rooney,Terry Bradshaw
John Cowles Sr,Gardner Cowles Jr.
Lillian Seril,Isaac Bashevis Singer
Joseph T. Sharkey,John F. Kennedy
Norris Cotton,Richard M. Nixon
Karl Rolvaag,Harold LeVander
Grace Lee Boggs,Raya Dunayevskaya
Robert Marasco,David Rounds
Tom Clancy,John Hammond
Victor Samrock,Herman Levin
David Golub,Leonard Rose
Betty Southard Murphy,Ronald Reagan
Lawrence Ronald Jacobs,Herbert Greene
Eydie Gorme,Stanley Kubrick
Roger W. Straus Jr.,Robert Giroux
Jack Kraft,Howard Porter
Peter F. Ostwald,Harold C. Schonberg
Dick Moore,Dickie Moore
Marion Donovan,Victor Mills
John G. Bonomi,Daniel Ellsberg
Barbara Seaman,Ruth Gruber
Eudora Welty,Jerome Chodorov
Robert F. Wagner Jr.,Phyllis Cerf Wagner
Former President Gustav Husak,Alexander Dubcek
Thomas Guinzburg,William F. Buckley Jr.
Martin R. Kaufman,Anne Jackson
Nicholas Schaffner,John Lennon
David Honeyboy Edwards,Joe Williams
Rod Dedeaux,Sparky Anderson
Tamarath K. Yolles,Stony Brook
George F. Abbott,Helen Hayes
Jack McVea,Charlie Parker
Vincent G. Liff,Geoffrey Holder
Richard P. McBrien,John Paul
Monique James,Carrie Snodgress
Ellen Zinsser McCloy,John J. McCloy
George Crews McGhee,John F. Kennedy
Catfish Hunter,Dick Allen
Leonard Gershe,Andy Griffith
Juan Antonio,Pearl Lang
Bob Crewe,Clint Eastwood
David Farrar,Janet Leigh
Greg Garrison,John F. Kennedy
Thomas J. Perkins,Eugene Kleiner
Boris B. Piotrovsky,Mikhail S. Gorbachev
Consuelo Velazquez,Dexter Gordon
David Nolan,Ayn Rand
Thelonious Monk,Cootie Williams
Bruce Gould,Beatrice Blackmar Gould
Sharman Douglas,John V. Lindsay
Domenick L. Gabrielli,Thomas E. Dewey
Marvin Hamlisch,Scott Joplin
Richard D. Peters,Carl B. Stokes
Theodore Tannenwald Jr.,Lyndon B. Johnson
Robert J. DeSanctis,John V. Lindsay
Warren J. Ferguson,Jimmy Carter
Ed Thrasher,Frank Sinatra
Joseph Holland,Martin Gabel
Bernard B. Schlanger,John F. Kennedy
Eddie Albert,Richard M. Nixon
Allen Newell,John McCarthy
Victor Blanco,Salvador Allende
Rufus Harley,Herbie Mann
Eddie Mathews,Warren Spahn
Corinne Calvet,Tony Curtis
Marty Springstead,Earl Weaver
Arthur Ashe,Jackie Robinson
Stanley Cups,Bill Barber
Vincent D. McDonnell,Edward I. Koch
Allan Frumkin,Henry Moore
Dewey Redman,Don Cherry
J. G. Sourwine,James O. Eastland
Calvin Griffith,Thelma Griffith
Mary Clark Rockefeller,John R. Clark
Vivian Fuchs,Edmund Hillary
Charles P. Ginsburg,Alexander M. Poniatoff
Howard Moss,Mark Strand
Allen C. Haskell,Jacqueline Kennedy
C. Clyde Atkins,Lyndon B. Johnson
Horst P. Horst,Jacqueline Kennedy
Frank O'Rourke,Gregory Peck
Dave Sweet,Eddie Albert
Jeanne Crain,William Holden
Grace Borgenicht Brandt,Roy Gussow
Miriam Lehmann-Haupt,Max Reinhardt
Boris Kaufman,Jules Dassin
Zhou Peiyuan,Albert Einstein
Edmund Engelman,Peter Gay
Klaus Barbie,Third Reich
Meyer Schapiro,Irving Howe
Jay Landesman,Marshall McLuhan
Sidney Peterson,Salvador Dali
Tatiana Riabouchinska,Edwin Denby
Lew R. Wasserman,Lyndon B. Johnson
Lillian B. Miller,Mary McCarthy
Rollin D. Hotchkiss,Norton D. Zinder
Eugene M. Schwartz,Kenneth Noland
Richard C. Holbrooke,Slobodan Milosevic
Joe Franklin,Elvis Presley
Robert Saudek,Alistair Cooke
Jim Carroll,Jack Kerouac
Bebe Barron,Anais Nin
Harry A. Blackmun,Thurgood Marshall
Gloria Swanson,Jose Ferrer
Yehudi Menuhin,Lennox Berkeley
Franco Corelli,Birgit Nilsson
Roy Wilkins,Thurgood Marshall
Henry A. Grunwald,James Burnham
Mary Finch Hoyt,Richard M. Nixon
Gerry Mulligan,Al Cohn
Fabio Coen,Alfred A. Knopf
S. Paul Ehrlich,Julius B. Richmond
Will Eisner,Jerry Siegel
Norman Redlich,Arlen Specter
Mary Drayton,Tom Helmore
Owen Bradley,Eddy Arnold
Robert Rauschenberg,Billy Kluver
Esther Ralston,Peter Pan
Judith Edelman,Jackie Robinson
Ray Noble,Wes Westrum
Robert T. McCall,Gordon Cooper
Rhoda L. Fisher,Seymour Fisher
Freddie Green,Thad Jones
Ted Curson,Bill Barron
Umberto Romano,Franklin D. Roosevelt
Bess Lomax Hawes,Alan Lomax
James Kennedy,Arthur Murray
Melva Bucksbaum,Robert Mapplethorpe
Henry King,Lillian Gish
Hallie Burnett Zeisel,William Saroyan
Jerry Ames,Chuck Green
Pernell Roberts,Lawrence Welk
Robin Hardy,Alfred Hitchcock
George Duke,Miles Davis
Lawrence R. Klein,Herbert A. Simon
Franklin H. Williams,Thurgood Marshall
Olan Soule,John Masters
Lee Van Cleef,Sergio Leone
Melvin J. Lasky,Stephen Spender
Clifton Daniel,James Reston
Robert E. Goldburg,Stokely Carmichael
Sylvester L. Weaver Jr.,Peter Pan
Nell Blaine,Jane Freilicher
Juan Gelman,Carlos Fuentes
Shigeko Kubota,John Cage
Shimon Peres,Menachem Begin
James Jamerson,Marvin Gaye
Thomas K. Minter,Edward I. Koch
Ray Kelly,Bill Dickey
Tommy Newsom,Buck Clayton
Max Pollikoff,Leonard Bernstein
Andrew Wyeth,Leonard E. B. Andrews
Gus Johnson,Gerry Mulligan
Lee Theodore,Michael Kidd
Alice Stewart Trillin,James Stewart
Paul E. Garber,Charles A. Lindbergh
Denis Johnston,Hugo Weisgall
Jack Maple,John F. Timoney
Willy Brandt,Erich Honecker
Lorenzo Semple Jr.,Gene Barry
Jean-Marie Lustiger,John Paul II
Lester Cowan,Robert Mitchum
Danny Perasa,Frank Sinatra
Steve Ferguson,Jimi Hendrix
Charles H. Kirbo,Gerald R. Ford
New Jersey,Bob Dylan
Aleksandr I. Lebed,Vladimir V. Putin
David Hartman,Teddy Kollek
William H. Stewart,Luther L. Terry
Pati Hill,Claes Oldenburg
Jacob Lateiner,Jascha Heifetz
Osceola Adams,Harry Belafonte
Evan Esar,Oscar Wilde
C. Robert Fine,Howard Hanson
Eugene Ionesco,Edward Albee
Barney McKenna,Ronnie Drew
Albert Otten,Adolf Hitler
Jim Jensen,Fidel Castro
Robert Whitehead,Robert Bolt
Thea Dispeker,Maria Stader
Frankie Crocker,Dinah Shore
Irvin Kershner,Carrie Fisher
Irving Kristol,Jack Kemp
Donald Windham,Truman Capote
Dorothy Porter Wesley,Charles Harris Wesley
John C. Giordano,Tinton Falls
Janusz Glowacki,Ron Silver
Andre Emmerich,Anthony Caro
Georgia Gibbs,Bob Hope
R. Vance,Richard M. Nixon
Mr. Santucci,Hugh L. Carey
Ben Ali,Ella Fitzgerald
Dennis M. Crosby,Lindsay Crosby
Jerry Wexler,George Michael
Karl Bohm,Leonie Rysanek
Howard Thompson,Robert Mitchum
Margarita G. Smith,Tennessee Williams
Gladys Shelley,Dakota Staton
Hy Weiss,Brownie McGhee
Joey Giardello,Billy Graham
Benny Goodman,Billy Butterfield
Peter Donald Andreoli,Louis J. Lefkowitz
Robert Mulligan,Alan J. Pakula
Frank DeVol,Robert Aldrich
David Merrick,Arthur Laurents
Buffie Johnson,Betty Parsons
Thomas Berger,Dustin Hoffman
Edwin Newman,John F. Kennedy
Elizabeth Jane Howard,Peter Scott
Jack Kramer,Ellsworth Vines
Gay Brewer,Babe Ruth
John Cheever,Benjamin DeMott
Sonny Sharrock,John Coltrane
Jack Gilford,John D. Rockefeller Sr
T. Edward Hambleton,Marcel Marceau
F. Ross Johnson,James Garner
Gordon B. Hinckley,Howard W. Hunter
Sid Luft,Vincente Minnelli
Harold Courlander,Henry Holt
Alec Wilder,Mildred Bailey
Lawrence B. Slobodkin,Stony Brook
Mulgrew Miller,Betty Carter
Abe Newborn,Cy Coleman
Teofilo Stevenson,Fidel Castro
Donald G. Jones,Hillary Rodham Clinton
Howard Pyle Wyeth,Andrew Wyeth
Hideo Sasaki,Lyndon B. Johnson
Hu Qiaomu,Wang Ruoshui
John Kobal,Alfred A. Knopf
Karen Morley,Shirley Temple
W. Arthur Lewis,Stanley Lewis
Francois-Xavier Lalanne,Jean Tinguely
Shirley Herz,Katharine Hepburn
Vincent Sherman,Paul Newman
Julian C. Dixon,Jim Wright
Andy Warhol's,Henry Geldzahler
Brian Bedford,Alan Bates
Norman J. Zeiler,Bill Blass
Jon Stone,Jim Henson
Ravi Shankar,Tom Scott
Earl Grace,Babe Ruth
Archie Bunker,George Roberts
Thomas C. Platt,Ronald Reagan
Larry Gelbart,John Mills
Louise Varese,Julien Gracq
Reubin Askew,Woodrow Wilson
Robert Stein,Benjamin Spock
Sergei Antonov,Claire Sterling
William Proxmire,Lyndon B. Johnson
Green Beret,Daniel Ellsberg
Allan H. Kalmus,Sid Caesar
Pat Henry,Frank Sinatra
Harold J. Cromer,Bill Haley
David Wright,Nelson Mandela
Don Van Vliet,Frank Zappa
Mildred Jeffrey,Geraldine A. Ferraro
Joseph A. Cimino,John V. Lindsay
Frederick B. Lacey,Simon H. Rifkind
Dick Schaap,Truman Capote
L. Arnold Weissberger,Ruth Gordon
Peter J. Levinson,Dale Olson
William K. Harrison,Douglas MacArthur
Iva Withers,Jan Clayton
John H. Filer,Jimmy Carter
James L. Bevel,James Earl Ray
Roger Nichols,Walter Becker
Yank Lawson,Bob Haggart
Oliver R. Tambo,Nelson Mandela
Eleanor Lansing,Robert Lansing
Buddy DeFranco,Nelson Riddle
Robert Whitehead,Dustin Hoffman
Jack Haley Jr.,James Stewart
Edith Luckett Davis,Loyal Davis
Miriam Bienstock,Wilson Pickett
Kelly Brown,Kiss Me Kate
David Anthony Kennedy,Edward M. Kennedy
Heath Ledger,Sean Penn
Phyllis Cerf Wagner,William Faulkner
Hu Yaobang,Deng Xiaoping
Thomas C. Platt,Howard Johnson
Art Taylor,Max Roach
George W. Ball,Arthur J. Goldberg
Norman St. John-Stevas,David Frost
Jerry Bock,Jerome Robbins
John J. Egan,Robert Moses
William McCleery,Jane Wyatt
Johnnie M. Walters,Strom Thurmond
Lew Christensen,George Balanchine
Consuelo Velazquez,Kitty Kallen
Paul Brach,Leo Castelli
Mel Harder,Bob Lemon
Livingston Kennedy,Robert Livingston
Cherie DeCastro,Sammy Cahn
Al Hansen,Alice Denham
William Wallace Ford,Lyndon B. Johnson
Norman Corwin,Richard Boone
Norman Vincent Peale,William Lee Miller
Alden S. McWilliams,Bill Cosby
Harold Clurman,Elia Kazan
Don Keefer,Elia Kazan
Salvatore J. Licata,David Summers
Mina Bern,Joseph Buloff
Scott Saul,Mildred Scott Olmsted
Howard H. Callaway,Ronald Reagan
Daniel Catan,Placido Domingo
Lee Hyla,Niagara Falls
James Day,Art Buchwald
David Wall,Antony Tudor
Edward Mulhare,Hope Lange
Thomas W. Kellogg,Raymond Loewy
Jerry Perenchio,Henry Mancini
Margaret Bush Wilson,Phyllis Schlafly
Monica Lewis,Bob Thiele
Jean-Francois Revel,Raymond Aron
Kenneth Burke,Malcolm Cowley
Nat Shapiro,Barbra Streisand
Albert Paulsen,Geraldine Page
John Lowenthal,Vincent Canby
Thruston B. Morton,Eugene J. McCarthy
Don Oberdorfer,Ronald Reagan
Winifred Cecil,Lanny Ross
Livio A. Beccaccio,David J. Kriskovich
Robert C. Byrd,Howard H. Baker Jr.
Owen Laster,Leon Uris
Richard M. Nixonnailing,Robert S. McNamara
Katharine Hepburn,Howard Hughes
Ralph Meeker,Arlene Francis
Hunein Maassab,Jonas Salk
Adja Yunkers,Dore Ashton
Arnold Palmer,Billy Casper
Anthony Blunt,Michael Havers
Lee Solters,Dolly Parton
James Baldwin,William Barrett
Arne Naess Jr.,Anton Rupert
Bernie Privin,Artie Shaw
Burton Benjamin,Walter Cronkite
Lilly Pulitzer,Jacqueline Kennedy
Joan Dunlop,Ronald Reagan
Tex McCrary,Samuel J. LeFrak
Jimmy Rowles,Helen Humes
Maury P. Leibovitz,Armand Hammer
Clare Hayes Timberlake,Buenos Aires
Gene Barry,Anthony Franciosa
Bob Haggart,Jane Jarvis
Ned Miller,Gale Storm
Roberta Bender Grossman,Walter Zacharius
Gwen Verdon,Fred Ebb
Reyner Banham,Philip Johnson
Jack Paar,Peter Ustinov
Helmut Newton,Irving Penn
Donald J. Tyson,Bill Clinton
Roger John Tayler,Martin Schwarzschild
Little Jimmy Dickens,Porter Wagoner
Alberta Hunter,Eubie Blake
Robert Osborne,Barbara Stanwyck
Nobutoshi Kihara,Masaru Ibuka
Mary Curtis-Verna,Eleanor Steber
Grady Tate,Roland Hanna
Jack Webb,Marlon Brando
Martin Luther King Sr,Nelson A. Rockefeller
David Susskind,Richard M. Nixon
Lionel Hampton,Ronald Reagan
Juliana Young Koo's,Douglas MacArthur
Laura Foreman,John Watts
Robert Helpmann,Paul Scofield
Paul Bogart,James Garner
New York City,Ruth Kligman
Jerome Liebling,Helen Levitt
Charles Ryskamp,Helen Clay Frick
Robert Lewis Taylor,Artie Shaw
John Pinette,Frank Sinatra
Harold A. Shaub,Bryn Mawr
Scott Barrie,Willi Smith
Eduard A. Shevardnadze,George Bush
Matthew Lipman,Jean Piaget
William Randolph Hearst Jr.,Howard Hughes
Julius N. Cahn,Edmund S. Muskie
Jack Sterling,Arthur Godfrey
Rudy Bond,Marlon Brando
Seymour W. Weiner,Glen Cove
Peter Jenkins,Margaret Thatcher
Alice Faye,Rudy Vallee
Saks Fifth Avenue,Henri Bendel
Mike Turnesa,Bob Miller
Dick McGuire,George Mikan
Gene Feist,Laurence Olivier
Lew Ayres,Katharine Hepburn
Wallace Markfield,George Segal
Gretchen Wyler,Don Ameche
Wilma Porter Soss,John J. Gilbert
Raymond T. McKay,Paul Hall
Hans Conried,Jerry Lewis
Jacob DeShazer,Robert L. Hite
Florence Eldridge,Tallulah Bankhead
Louis R. Ross,Philip Caldwell
Jim McKay,John F. Kennedy
Roger J. Miner,Ronald Reagan
George McGovern,Robert F. Kennedy
Mario M. Cuomo,Pierre A. Rinfret
Roy Lichtenstein,Larry Rivers
Mohammad Abdullah,Jawaharlal Nehru
Joaquin M. Luttinger,Walter Kohn
Sonny Stitt,Jay McShann
Frances Ann Cannon Dougherty,Mary Stuart
Vugar Gashimov,Reggio Emilia
Lili Kraus,Szymon Goldberg
Edward Bland,Sun Ra
Henry H. Fowler,James Callaghan
Lewis M. Allen,Mike Nichols
Kate Smith,Andy Williams
Emperor Hirohito,Noboru Takeshita
Richard F. Shepard,Borscht Belt
Andy Kirk,Mary Lou Williams
James A. Wechsler,Roger Wood
Edgar Faure,Francois Mitterrand
Art Blakey,James Williams
Don Weis,Debbie Reynolds
Joan Mondale,Bill Clinton
Ray McKinley,Mel Powell
Robert Hellman,Off Broadway
Roger Wilkins,Lyndon B. Johnson
Pete Candoli,Conte Candoli
Arthur Smith,Roy Orbison
James R. Mann,Don Edwards
George London,Leonie Rysanek
Sol Leon,Mike Wallace
Oscar Peterson,Dexter Gordon
Henry Armstrong,Ceferino Garcia
Dan Rowan,Richard M. Nixon
R. Vance,Lyndon B. Johnson
Lewis Allen,Ray Milland
Francois Truffaut,Claude Chabrol
Steve Burgh,David Bromberg
Barry Morell,Bidu Sayao
Benjamin Kaplan,Telford Taylor
Janet Cook Loeb,John A. Cook
Gaston Eyskens,Wilfried Martens
Robert M. Shelton,Robert Shelton
Joe Cocker,John Belushi
Bettina Graziani,Irving Penn
Romeo Salta,Lucille Ball
Franco Modigliani,Charles M. Vest
Fred Taylor,Woody Hayes
Dawn Langley Simmons,George Washington
Harry Bernstein,Charles Burton
Robert Sobel,Louis E. Wolfson
Delphine Seyrig,Harold Pinter
Bob Feller,Early Wynn
Carleton Sprague Smith,Randall Thompson
Run Run Shaw,Edward S. Finkelstein
Jack Elam,Robert Preston
Robert Ferdinand Wagner,Joseph Papp
Arnold Kramish,Edward Teller
Jane Connell,Lucille Ball
Stella Standard,Stringfellow Barr
John Thaw,Colin Dexter
Karl Struss,Fredric March
Claire Nichtern,Eli Wallach
Billy Wilder,William Holden
Bill Foster,Abe Lemons
Benjamin C. Thompson,James W. Rouse
Felix J. Cuervo,John V. Lindsay
Concha Ortiz,John F. Kennedy
Geraldine Peroni,Robert Altman
Milton Rogovin,Anne Rogovin
Syd Thrift,Frank White
Thomas B. Gilchrist Jr.,Nelson A. Rockefeller
Denise Levertov,Benjamin Spock
Darryl Dawkins,Wilt Chamberlain
Jim Henson,Roald Dahl
Matthew J. Perry Jr.,Rosa Parks
George Gentoku Shimamoto,Nelson A. Rockefeller
Pol Pot,Norodom Sihanouk
Mike Douglas,Bill Cosby
Mel Gussow,Robert Wilson
Simon MacCorkindale,Alec McCowen
Robert McFadden,Billy Eckstine
Walter Dean Myers,Arthur Miller
Harvey Korman,Carol Burnett
Arthur Hertzberg,John XXIII
William F. Polito,John F. Kennedy
Augie Rodriguez,Frank Sinatra
Lane W. Adams,Luther L. Terry
Lisette Model,Berenice Abbott
Warren Elliott Henry,Glenn T. Seaborg
M.O. Mathai,Jawaharlal Nehru
James A. Farley Jr.,Hugh L. Carey
Roger MacDougall,Alexander Mackendrick
Carlos P. Romulo,Ferdinand E. Marcos
John D. MacDonald,Robin W. Winks
John Guedel,Bob Hope
L. Reyner Samet,Roy Scheider
Mr. Lester,Paul Walker
Alberto Ginastera,Lincoln Kirstein
Andrew Love,Willie Davis
Sara Fredericks,Bill Blass
Marguerite Shaw,Maurice Evans
Frankie Thomas,Nancy Drew
Walter Sear,Robert Moog
Archer Gordon,Peter Safar
Robert Gladstein,Lew Christensen
James W. Black,George H. Hitchings
Walter Gerboth,Staten Island
Anthony Bliss,John Dexter
John Aylesworth,Hee Haw''
Traverse City,Jimmy Carter
Richard Bradshaw,John Eaton
Kenneth Paul Block,Greta Garbo
Bob Schiffer,Ginger Rogers
Annette Hanshaw,Benny Goodman
James M. Nederlander,Gwen Verdon
Felicja Blumental,Monte Carlo
Rafael Alberti,Luis Bunuel
Marvin E. Frankel,Bernard Bergman
That Man,Claude Chabrol
Raphael Hillyer,William Schuman
Marcello Mastroianni,Mario Monicelli
James S. Rausch,John Cardinal Dearden
Yang Xianyi,George Bernard Shaw
Alan W. Livingston,Mel Blanc
Harry Wagstaff Gribble,Philip Yordan
Orville Prescott,Louis Auchincloss
Brian Macdonald,Allen Hughes
Harold L. Fisher,Staten Island
Frederick William Heim,Leonard Bernstein
Ken Russell,Isadora Duncan
Shirley Temple Black,George Murphy
Tobias Schneebaum,Norman Mailer
Alberto Vargas,Jane Russell
Andrei A. Gromyko,Francois Mitterrand
Greg Shaw,Lester Bangs
Theodore Newhouse,Caroline H. Newhouse
Michael Redgrave,Harold Pinter
Vincent J. Fontana,Edward I. Koch
Lone Isaksen,John Butler
Meldrim Thomson Jr.,Ronald Reagan
Harold W. McGraw Jr.,Howard R. Hughes
Roger Baldwin,Osmond K. Fraenkel
Art Aragon,William Holden
Robert Berrellez,Fidel Castro
James Chambers,William Schuman
Saul K. Padover,Thomas Jefferson
William W. Montgomery,Marilyn Monroe
Robert Montgomery,James Cagney
Richard Merkin,Bob Adelman
George Gallup,John F. Kennedy
Lillian Lux,Pesach Burstein
Michael Kamen,Rod Stewart
Dame Marie Rambert,Frederick Ashton
Nancy Van Norman Baer,Anna Pavlova
Stanley Kramer,Marlon Brando
Rosemary Murphy,Howard Taubman
Jean Ritchie,Mitch Miller
Louis Maltese,Staten Island
Horton Foote,Otto Preminger
Robert Claiborne,Pete Seeger
William W. Winpisinger,Ronald Reagan
Kate Reid,Burt Lancaster
S. Dillon Ripley,Henry Moore
Zoltan Pfeiffer,Bela Varga
Lord Rayner,Edward Heath
W. Watts Biggers,Bill Scott
Charles Morgan Jr.,Richard M. Nixon
J. B. Priestley,Queen Elizabeth II
Darryl Stingley,Jack Tatum
Adolfo Surez,Robert Graham
Anthony J. McAllister Sr,James P. McAllister
Patti Page,Jean Simmons
Richard Milhous Nixon,John N. Mitchell
Bert Jansch,Jimi Hendrix
The Rev. Mychal F. Judge,Charles Miller
Vera G. List,Barbara Jordan
Peter Moore,Nam June Paik
Bea Arthur,Gene Saks
Marvin M. Mitchelson,Marlon Brando
Robert Crichton,Stanley Kramer
Maryanne Amacher,Karlheinz Stockhausen
Charles K. Johnson,George Bernard Shaw
Joyce Jillson,Nancy Reagan
Walter Tevis,Paul Newman
Turner Catledge,Joseph Alsop
Paul Draper,Arthur Murray
Fred De Cordova,Elvis Presley
Gloria Contreras,Lincoln Kirstein
Henry King,Jennifer Jones
Henry Steele Commager,Archibald MacLeish
Francis Paudras,Dexter Gordon
Willie Bobo,Herbie Mann
Ira Tucker,Thomas A. Dorsey
Eugene Istomin,Donald Gramm
Simon Michael Bessie,Daniel J. Boorstin
Alton Ellis,Bob Marley
Robert Natkin,Peter Fuller
Roy Sievers,Richard M. Nixon
Tex Antoine,Emmy Award
Rella MacDougall,Mark Hampton
Irving Green,Frankie Laine
Tillie Olsen,Jack Olsen
Mercedes McCambridge,Willie Stark
Anthony J. Hope,George Bush
Maclyn McCarty,Alfred D. Hershey
Phil Chess,Sam Phillips
Raymond Parker,Barbra Streisand
Gordon Davidson,John Houseman
Neal Hefti,Miles Davis
Catherine Viviano,Bernard Perlin
John Bell Williams,John F. Kennedy
Rumer Godden,David Farrar
Les Brown,Dean Martin
Don Butterfield,Leonard Bernstein
Martin A. Trow,James S. Coleman
Travis Tuck,Robert Shaw
Jules Dassin,Ruby Dee
Rita Klimova,Vaclav Havel
Philip M. Crane,Ronald Reagan
Ania Dorfmann,Harold C. Schonberg
Richard JaeckelRichard Jaeckel,Paul Newman
Lou Reed,Allen Ginsberg
Earle Swensen,Herb Caen
Bud Greenspan,Jesse Owens
Michael Ries,Martha Graham
Sydney Pollack,Charles Champlin
Arlen Specter,John F. Kennedy
Virgil Trucks,Johnny Kucks
Simon Potok,Chaim Potok
Clayton Yeutter,Ronald Reagan
Ray Wietecha,Jack Stroud
Gene Baylos,Joey Adams
Donald S. Fredrickson,Gerald R. Ford
Phillip Hayes Dean,Coretta Scott King
Lawrence E. Walsh,George Bush
Potter Stewart,Fred W. Friendly
Alla Sizova,Rudolf Nureyev
Gordon Onslow Ford,Robert Motherwell
Robert L. Scott Jr.,James H. Doolittle
Thomas V. Daily,Mario M. Cuomo
Bill Shoemaker,Charlie Whittingham
William C. Ridgway Jr.,Mill Neck
Bill Hardman,Horace Silver
Ronnie Mathews,Cedar Walton
Milton S. Eisenhower,Fidel Castro
William Shawn,Adolf Eichmann
Rodney O. Felder,Arlene Francis
Dan Rooney,Johnny Unitas
Scott McKay,Jennifer Jones
Adolph Green,Peter Lawford
Michael Leonard,Barbra Streisand
Vasily Aksyonov,Vladimir V. Putin
Edward Herrmann,Lynn Redgrave
Robert M. Warner,Charles McC. Mathias
Irving Kristol,Richard M. Nixon
Ellis B. Haizlip,Calvin Lockhart
Howard K. Smith,Orson Welles
Ben Weisman,Bobby Vee
Niles Ford,Rod Rodgers
Wee Reese,Roy Campanella
Nora Kaye,Isaac Stern
Jorge Luis Borges,Richard Burgin
Geulah Abrahams,Pearl Lang
Ronnie Cutrone,Lou Reed
Joe Cocker,Lonnie Donegan
Alice Coltrane,Charlie Haden
Joseph C. Harsch,Franklin D. Roosevelt
Betty Carter,Lionel Hampton
Richard F. Pedersen,Adlai E. Stevenson
Paul Henning,David Niven
Arthur Kinoy,Tom Hayden
June Watkins,John C. A. Watkins
Philip L. Carret,Warren E. Buffett
Nora Kaye,George Balanchine
Knut Haugland,Richard Harris
Merlo J. Pusey,Eugene Meyer
Tammy Wynette,Billy Sherrill
Lon Nol,Dith Pran
Melissa Gold,Bill Graham
Paul Jacobs,John Cage
Maxime A. Faget,Gordon Cooper
Kariel Gardosh,Yosef Lapid
Jule Styne,Roy Rogers
Clyde D. Eddleman,Douglas MacArthur
Dorothy Podber,Ray Johnson
Teddy Edwards,Gerald Wilson
Lou Gorman,Frank Cashen
Ralph D. Albertazzie,John F. Kennedy
Reathel Odum,Stuart Symington
Harry Patch,Queen Elizabeth II
Jackie Vernon,Jack Paar
Ismat Kittani,Kurt Waldheim
Miroslav Ondricek,George Roy Hill
William G. Hundley,Pete Rozelle
John Ayers Merritt,Woody Hayes
Daniel Melnick,Johnny Carson
Babe Parilli,Bear Bryant
Carl A. Capasso,Edward I. Koch
George A. Miller,George Miller
Thomas R. Odhiambo,Albert Einstein
Carlos Moseley,Philip Johnson
Artur Lundkvist,Octavio Paz
Terence Young,Bosley Crowther
Peter Heyworth,Maria Callas
Cy Howard,Jerry Lewis
Johnnie Wright,Doug Sahm
Walter E. Washington,Robert F. Kennedy
Paul Giel,Heisman Trophy
Seymour Lipkin,Mieczyslaw Horszowski
Julia Perles,Harry B. Helmsley
Jim Rodnunsky,Peter Pan
Lee Theodore,Sid Caesar
Estelle Getty,Tennessee Williams
Louis A. Saunders,John F. Kennedy
Patrick Hayes,Marian Anderson
Robert Pirosh,Danny Kaye
S. I. Newhouse Jr.,Claes Oldenburg
Ed Snider,Jerry Wolman
Edward Weinfeld,Thurgood Marshall
Dean Jones,Larry Kert
Fred Weintraub,Anthony Quinn
Faiga Teitelbaum,Woodrow Wilson
Sun Ra,Dizzy Gillespie
Modern Art,William Rubin
Charles Arnt,Henry Fonda
Mr. Hentoff,Ornette Coleman
Fred Simmons Keller,William N. Schoenfeld
John Coplans,Donald Judd
Johnny Cash,Elvis Presley
McHenry Boatwright,Jimmy Carter
Mary Burke Nicholas Washington,Walter E. Washington
Joseph Schrank,Esther Williams
Diana McLellan,Zbigniew Brzezinski
Hugh Brannum,Fred Waring
Ms. Beauman,Alan Howard
Francois Reichenbach,John F. Kennedy
Simone Gallimard,Claude Gallimard
Meg Greenfield,John F. Kennedy
Howard Higman,Arthur Miller
Philip H. Weinberg,Malcolm Wilson
Richard C. Holbrooke,George W. Bush
Turner Catledge,Arthur Ochs Sulzberger
Steve Backer,Gato Barbieri
Charles P. Farnsley,Lyndon B. Johnson
Richard M. Nixon,Alger Hiss
Samuel Charters,John Clellon Holmes
Mary Soames,Queen Elizabeth II
Marco Ferreri,Marcello Mastroianni
Michael S. Harper,Jackie Robinson
Stuart Berg Flexner,Eugene Ehrlich
Brian Bedford,Mike Nichols
Sidney Glazier,Woody Allen
Eugen Grabscheid,Anthony Quinn
Richard Martin,Diana Vreeland
Jane Mayhall,Leslie George Katz
Donald Ashwander,Judith Martin
Ralph F. Colin,Ira Gershwin
Michael Hastings,Richard Burton
Mark H. McCormack,Margaret Thatcher
Anna Balakian,Nona Balakian
David Antin,Robert Morris
Sandra Helen Payson,William Blair Meyer
Dwayne McDuffie,Glenn McDuffie
