from,to
Clyde E. B. Bernhardt,Claude Hopkins
Frank P. Satenstein,Elvis Presley
J. Wallace LaPrade,Richard M. Nixon
Bruce Gordon,Julie Harris
Mary Lindsay,Robert Price
Tom Snyder,Johnny Carson
Charlie Parker,Jeanne Moreau
Robert Anderson,Charles Nelson Reilly
Donald Droll,Tony Smith
Joe Mantell,George Furth
Denis Johnson,Graham Greene
Prentice H. Marshall,Roy L. Williams
Vaughn Harper,Luther Vandross
Mary Keefe,Igor Cassini
Lawrence S. Eagleburger,Slobodan Milosevic
Aram A. Avakian,Gjon Mili
George Clayton Johnson,Vincent Canby
Russell M. Saunders,Gene Kelly
Theodore Solotaroff,Norman Mailer
Hilda Cole Espy,Kate Smith
Kamisese Mara,Queen Elizabeth II
Michael Hordern,Ralph Richardson
Ernie Ford,Merle Travis
Frank A. Cardman,Glen Head
Earl E. T. Smith,John F. Kennedy
Lewis Allen,Bosley Crowther
Linda Eastman McCartney,Jack Lawrence
George Coulouris,Orson Welles
Snuff Garrett,Jerry Lewis
Lee P. Gagliardi,Maurice H. Stans
Robert Hardy,James Mason
Judith P. Sulzberger,Ruth Sulzberger Holmberg
Queen Elizabeth,Nigel Nicolson
Betty Crocker,George Burns
John Chadwick,Arthur Evans
Marty Blake,John Lucas
Arthur Schwartz,Gene Kelly
Reggie Montgomery,James Baldwin
Tommy Hawkins,John McKay
Marian Seldes,Colleen Dewhurst
Peter Maas,Clay Felker
Tom O'Horgan,Norman Mailer
Wilbur J. Gould,Mike Wallace
George Gobel,Johnny Carson
Michael Berniker,Frank Sinatra
Charles M. Stevenson,Theodore Roosevelt
John Coltrane Quartet,Miles Davis
Ed McMahon,Jerry Lewis
Peter Blake,Philip Johnson
Bill Willis,Marion Motley
Martha Raye,Bob Hope
Bo Belinsky,Dean Chance
Bruce King,Hanya Holm
Arnold Black,Jose Quintero
Gen. James A. Van Fleet,Douglas MacArthur
Curtis E. LeMay,George C. Wallace
John Wilder Tukey,Lyman Spitzer Jr.
Tadeusz Konwicki,Janusz Glowacki
Herbert Prashker,Irving Lehman
Mel Shavelson,Ted Berkman
Henry H. Fowler,Joseph W. Barr
Robert Nigro,Bob Keeshan
Mary K. Wells,Sandy Dennis
Allan Carr,Peter Sellers
Jiri Krizan,Vaclav Havel
Willis M. Hawkins,John F. Kennedy
Len Bias,Joe Moakley
Robert J. Kelleher,Richard M. Nixon
Christopher Jones,Susan Strasberg
Jerry Schneider,Longboat Key
Norman Corwin,Franklin D. Roosevelt
Marlboro Country,Joan Cullman
Grover Washington Jr.,Charles Earland
Donald Fedderson,Ed McMahon
Julius J. Epstein,Paul Henreid
John Eaton,Andrew Porter
Sharman Douglas,Peggy Zinsser Douglas
Rudolf Serkin,Louis Moyse
Ed Victor,Alfred A. Knopf
Elizabeth Whelan,Fredrick J. Stare
Harry Brown,Elizabeth Taylor
Florence Stephenson Mahoney,Mary Woodard Lasker
Garrick Utley,John Chancellor
Sam Kinison,Rodney Dangerfield
Stan Winston,Abraham Lincoln
Irving Howe,Richard Wright
Lawrence P.,Barbara Ann Teer
Phil Rizzuto,Enos Slaughter
Morton Gottlieb,Art Carney
James Mason,Laurence Olivier
Theodore Mann,Jose Quintero
Charles Morgan Jr.,Muhammad Ali
Rebekah West Harkness,Irving S. Cooper
Jack Lohrke,Bobby Thomson
Vincent A. Carson,Howard Hughes
George Harrison,Tom Petty
Britt Woodman,Phil Moore
Ralph Waite,Paul Newman
Anne Bancroft,Louise Nevelson
Philip Agee,William H. Schaap
C. William Harwood,Stephen Paulus
Ella Fitzgerald,Irving Berlin
Dick Stuart,Bobby Bragan
Keith Highet,Helen MacInnes
Y. A. Tittle,Joe Perry
Peter Spier,Phyllis Krasilovsky
Vava Sarkis Khachaturian,Henri Matisse
Edmund Fuller,Jack Kerouac
Alfred Friendly,Joseph R. McCarthy
Sandra Isham Vreeland,Heyward Isham
Arnold Weinstein,Gene Wilder
John Plumb,Margaret Thatcher
Gilbert Green,Jack London
John Benson Brooks,Frank Sinatra
Deborah Cavendish,Queen Elizabeth II
Norman Cohn,Anthony Storr
William A. Rusher,Jimmy Carter
Mikhail S. Zimyanin,Mikhail S. Gorbachev
Jim Wright,Phillip Burton
Harry Mathews's,Terry Southern
Morris Kline,Harry Schwartz
Kukrit Pramoj,Seni Pramoj
Mikhail T. Kalashnikov,Boris N. Yeltsin
Jeremiah J. O'Keefe,Ku Klux Klan
Primo Levi,Herbert Mitgang
Morton Gottlieb,Tony Awards
Bertrand M. Bell,Sidney Zion
Rudolf Augstein,Helmut Kohl
Anthony T. Ulasewicz,Edward M. Kennedy
Morton Silverstein,Walter Cronkite
George W. George,Alec Guinness
Czeslaw Kiszczak,Mikhail S. Gorbachev
Abraham Pais,George E. Uhlenbeck
Xu Liangying,Fang Lizhi
Howard H. Guttenplan,Andy Warhol
Elaine Lustig Cohen,Philip Johnson
Philip H. Coombs,John F. Kennedy
Harlon B. Carter,Nelson T. Shields
Armand Hammer,Jimmy Carter
Stuart A. Roosa,Ronald E. Evans
Richard C. Bond,Bryn Mawr
Michael Denison,Dulcie Gray
Marion Dougherty,Dustin Hoffman
Alger B. Chapman,Thomas E. Dewey
Dash Snow,John F. Kennedy
Rodney W. Markley Jr.,Lyndon B. Johnson
Gary Cartwright,John F. Kennedy
George Beverly Shea,Cliff Barrows
Sun Ra,John Cage
Theodore Reed,Richard M. Nixon
Edwin P. Wilson,Peter Maas
James Tobin,Paul A. Samuelson
Larry Morris,Bobby Dodd
Philip Johnson,Huey P. Long
Pierre Elliott Trudeau,Richard M. Nixon
Robert A. Dahl,Theodore J. Lowi
Nicholas Martin,Alfred Hitchcock
Douglas Watt,Cheryl Crawford
Flynn Robinson,Chick Hearn
John Cooper,Michael Caine
Hilda Ginsburg Schwartz,Vincent R. Impellitteri
Carol Brown Janeway,Elizabeth Janeway
Gordon Parks,Aaron Copland
Rachel Rosenthal,Chris Burden
Jules W. Lederer,Ann Landers
Casper Citron,Marlon Brando
Leni Wylliams,Eleo Pomare
Marie M. Lambert,Ronald Reagan
Noel Willman,Katharine Hepburn
William A. Koshland,Alfred A. Knopf
Irwin Dambrot,Ed Roman
Barry Zorthian,Gloria Emerson
C.J. Hart,Wally Parks
William F. Baxter,Ronald Reagan
Malcolm Boyd,William Sloane Coffin Jr.
Gordon Scott,Buster Crabbe
Aleksandr I. Lebed,Mikhail S. Gorbachev
Lucien Aigner,Alfred Eisenstaedt
Robert Creeley,Robert Duncan
Denise Duval,Howard Taubman
Thomas William Mattingly,Walter Reed
Gen. Robert H. Barrow,Caspar W. Weinberger
Charlie Callas,Johnny Carson
Stephen H. Schneider,Al Gore
Bob Keane,Frank Zappa
Fritz Stern,Jacques Barzun
Garry Marshall,Jackie Gleason
Leverett Edwards,Lyndon B. Johnson
Fiorello H. La Guardia,Carl S. Shoup
Solomon Fabricant,Arthur F. Burns
Sallie Wilson,Nora Kaye
Harold J. Cromer,Stevie Wonder
Arthur Schwartz,Sammy Cahn
Filip Topol,Vaclav Havel
Erick Hawkins,George Balanchine
Barney Bigard,Louis Armstrong
Merce Cunningham,Lindsay Anderson
Helmut Schmidt,Ronald Reagan
Freddy Wittop,Maurice Evans
Martin Cherkasky,Edward I. Koch
William James McGill,Ronald Reagan
Louis L. Goldstein,Alfred E. Smith
Raymond B. Harding,Franklin D. Roosevelt
Setsuko Hara,Toshiro Mifune
Bill Melendez,Charlie Brown
Harry Caray,Joe Garagiola
Thomas F. Murphy,Theodore Roosevelt
Jack Clement,Carl Perkins
Jean Outland Chrysler,Walter P. Chrysler Jr.
Nate Thurmond,Bill Russell
Michael Crawford,William Hamilton
Mallalieu S. Woolfolk,Oliver C. Sutton
Harry Conover,Buenos Aires
J. Kenneth McFeeley,Abraham D. Beame
Art Buchwald,Richard M. Nixon
Panama Francis,Lionel Hampton
Sherry Mathis,Will Holt
Francis Steegmuller,Isadora Duncan
Benjamin Lees,Howard Taubman
Hosea Williams,John Lewis
Evan Hunter,Alfred Hitchcock
Anthony P. Rios,Cesar Chavez
Bush Englund,Richard Englund
Richard G. Hendrickson,Herbert Hoover
Hideko Takamine,Keisuke Kinoshita
Matt Turney,Bob Teague
Qian Qichen,Mao Zedong
Jean Tinguely,Larry Rivers
John Kerr,James Stewart
Max Roach,George Coleman
Lou Myers,Art Buchwald
Valery Brumel,Jim Tuppeny
Pete Rozelle,John Mackey
Marion Brown,Robert Palmer
Joseph L. Rauh Jr.,Douglas MacArthur
Ken Price,Chet Baker
Joan Miller,Anna Sokolow
Deane F. Johnson,Bing Crosby
Samuel R. Berger,Bill Clinton
Richard Marius,Al Gore
Thomas S. Foley,Robert H. Michel
Luther Davis,Bosley Crowther
Don Mankiewicz,Glenn Ford
Fred Kelly,Tito Puente
Frank Ross,Norman Vincent Peale
Muriel Topaz,Martha Hill
Richard Mohr,Nicolai Gedda
Norman Dorsen,Bill Clinton
Harold Norse,William S. Burroughs
Johnny Gimble,Floyd Cramer
Eastern Europe,Milton Berle
E. Virgil Conway,Abraham D. Beame
Everett Freeman,Fanny Brice
Earl Shorris,Bill Clinton
Alan Cheuse,Malcolm Cowley
Peter Walls,Canaan Banana
Ann Colbert,Georg Solti
John Haase,James Stewart
Edgar Kaplan,Norman Kay
Daniel Bell,Alfred Kazin
Arthur A. Houghton Jr.,John D. Rockefeller
Merl Saunders,Jerry Garcia
Hubert Saal,George Balanchine
Arnold K. Davis,Ray Goulding
Spoony Singh,Marilyn Monroe
Arif Mardin,Jerry Wexler
Sara Ehrman,Richard M. Nixon
Mickey Baker,Bo Diddley
William Bennett Bean,Walter Reed
Jerzy Giedroyc,Gustaw Herling
Daliah Lavi,Ken Hughes
Carlos Moseley,Leonard Bernstein
Katharine Winthrop McKean,Alice Marble
Muhammad Ali,Sidney Poitier
Bill Clinton,Norman Mailer
Lella Vignelli,Bob Noorda
Warren Zevon,Bruce Springsteen
Doris Fisher,Bing Crosby
Eric Wright,William Young
Robert Pinget,Claude Simon
Joseph H. Ball,Harold E. Stassen
Gilbert Becaud,Yves Montand
Joseph F. McCrindle,Iris Murdoch
Charles L. Black Jr.,Bill Clinton
Laszlo Halasz,Regina Resnik
Dino De Laurentiis,Henry Fonda
Irv Kupcinet,Walter Winchell
Thornton F. Bradshaw,Laurence A. Tisch
Don Lamond,Sonny Stitt
Nelson A. Rockefeller,David Rockefeller
Henry Heydenryk Jr.,Marlene Dietrich
Nora Johnson,Peter Sellers
Jack Greenberg,Derrick Bell
Boris N. Yeltsin,Aleksandr I. Lebed
Nina Vyroubova,Irene Lidova
J. B. Handelsman,Robin Skynner
Trudi Schoop,John Martin
Pio Laghi,Ariel Sharon
Peter Falk,Paddy Chayefsky
Speedy West,Frank Sinatra
Wang Ping,Deng Xiaoping
John P. Fadden,Babe Ruth
Bobby Durham,Joe Pass
Estelle Stewart Axton,James Stewart
Thomas H. Stix,Douglas MacArthur
Pierrette Alarie-Simoneau,Leopold Simoneau
Hal B. Wallis,Jerry Lewis
Benjamin J. Malcolm,Mario M. Cuomo
Doris Tillett,Robert F. Kennedy
Mary Lee Settle,Anatole Broyard
Barbara W. Tuchman,Nathan Kroll
Clement J. Wyle,Good Housekeeping
Gloria F. Ross,Jean Dubuffet
Jerome B. York,Steven P. Jobs
M. Korff,Alexander M. Schindler
Oscar M. Ruebhausen,Franklin D. Roosevelt
Robert Coote,Rex Harrison
John O'Shaughnessy,William Wister Haines
Edward Grady Partin,James R. Hoffa
Dino Anagnost,Gian Carlo Menotti
Tony Award-winning,Herbert Berghof
John Ashbery,Adrienne Rich
Ruth Mitchell,Tallulah Bankhead
Richard E. LeBlond Jr.,Michael Smuin
Milton Frome,Ann Miller
Orrin Keepnews,Dick Katz
Reginald S. Lourie,George Washington
Chester V. Clifton Jr.,Cecil Stoughton
Jimmy Bivins,Jesse Owens
Joseph Wiseman,Vincent Canby
Henry A. Grunwald,Sidney Hook
