Source,Target,weight
John T. Edge,John Nicholson,2
Jack Nicholson,Dennie Brooks,48
Peter Davis,Abraham Schneider,2
Tom Hulce,George Roy Hill,2
Tom Buchanan,Nathanael West,2
Jack Nicholson,' ' Five Easy Pieces,98
Jack Rosenthal,Jack Nicholson,48
His Mercury Theater,George Orson Welles,2
David Smith,Bernard J. Reis,2
Fred Astaire,David Wayne,3
Vincent Canby,Arthur Miller,7
Sterling Hayden,Buck Henry,3
Marlon Brando,Arthur Penn,9
Peter Fonda,Ed Ruscha,9
Meg Wolitzer,Karen Silkwood,2
Tom Buchanan,Hunter Carson,2
Jessica Tandy,Billy Wilder,3
President Ronald Reagan,Hazel Truesdale,2
We Are All Jews,John - Boy,2
Robert Gottlieb,Meryl Streep,4
Vincente Minnelli,Judy Garland,3
Blossom Dearie,Agence France - Presse,2
Terry Malloy,Konstantin Stanislavski,2
I Said I Love You When You Know I,Cy Coleman,2
Karen Silkwood,Carl Bernstein,2
Richard Burton,Jack Nicholson,150
Young Burton,""" Royal Wedding",2
Michael Douglas,Goldie Zaentz,4
Janet Roach,De Witt Clinton High School,2
Joey Gallo,Dustin Hoffman,3
Robert Altman,Cliff Robertson,2
Ulysses S. Grant,Sidney Poitier,4
Sheldon Harnick,Cole Porter,2
Marlon Brando,M. Emmet Walsh,9
Truman Capote,Lucinda Ballard,4
Marlon Brando,Konstantin Stanislavski,9
Peter Fonda,Lee Strasberg,24
Paul Newman,Marlon Brando Sr,8
Miles Davis,Jack Nicholson,48
Tom Cruise,Ruth Sobtka,4
Ralph Bakshi,Miles Davis,2
Lady Be Good,Jack Nicholson,48
Lady Be Good,Harold Adamson,2
William Holden,Brigitte Bardot,3
Marc Antony,' ' Free Money,2
James Harris,Dr. Ralph Waldo Emerson Jones,2
Steve Franken,Peter Sellers,4
Hugh Hastings,Claire Bloom,2
Neal Cassady,A Dime Western,2
Katie Elder,Dennis Lee Hopper,2
Philip Guston,Francis Kenneth Lloyd,2
Jill Clayburgh,Ellen Burstyn,2
Sylvester Stallone,Arthur Miller,3
Dr. Oscar Janiger,Cary Grant,2
Ruth Lewis Smith,Marilyn Monroe,3
Truman Capote,A Memorable Oscar Mr. Brando,4
John Frankenheimer,Anna Justine,4
Rose Gershwin,My Heart,2
Pauline Kael,George C. Scott,6
Ruth Carter Stapleton,Mary Ida Nicholson Gordy,2
Peter Sellers,Burt Lancaster,5
Jay Kanter,"' ' Harper,''''Where Eagles Dare,''''The Long Goodbye,''''The Missouri Breaks",2
William Tepper,Karen Black,2
Virginia Nicholson,Kenneth Tynan,2
Julie Andrews,Dwayne Hickman,2
Mike Nichols,Dan Greenburg,4
Morton Levine,David Smith,2
Ron Howard,Donna Damerel,3
Robert Redford,Beverly Hills,7
James Earl Carter Jr.,Dr. Paul Broun,2
James Barton,Fred Allen,2
Sanford Meisner,Lee Strasberg,5
Walter Damrosch,Joan Crawford,2
Jack Nicholson,Elliott Gould,98
Boycotted New York Stage He,Barbara Leaming,2
Tina Turner,Francis Ford Coppola,6
Greta Garbo,Claudette Colbert,2
John Byner,Fred Travalena,2
Ralph Lauren,Claudette Colbert,2
Joan Crawford,Diana Lane,2
Robert De Niro,Eva Marie,2
Richard Rodgers,Fred Astaire,3
Vincente Minnelli,Ella Logan,2
Sanford Meisner,Beverly Hills,7
Fred Zinnemann,Andrei Vishinsky,2
Larry King Live,Christian Brando,2
Sanford Meisner,George C. Scott,4
Robert Aldrich,Marlon Brando,9
Vincent Canby,Faye Dunaway,8
Prince Albert,Agence France - Presse,2
Jackson Pollock,Barbara Hepworth,2
James Dean,Elaine Stritch,5
Martin Scorsese,Francis Ford Coppola,7
Pauline Kael,Bob Hope,7
Warner Brothers,Michelle Phillips,4
Larry King Live,Konstantin Stanislavski,2
Morton Levine,Francis Bacon,2
Paul Simon,Neil Diamond,2
Walter Damrosch,Peggy Kaye,2
Sterling Hayden,Saturday Night Live,3
Warren Beatty,""" Dick Tracy",4
Stanley Kowalski,Orson Welles,5
Robert Redford,Kathy Fields Lander,2
Vincent Price,Louis Arkoff,2
Peter William Fields,Francis Ford Coppola,6
Veronica Lake,Twyla Tharp,2
Will Greer,Stella Adler,3
Hilda Rusoff,""" Hot Rod Girl",2
General Manager Mitch Kupchak,Beverly Hills,7
Jack Nicholson,George Dudley,48
James Jackson,Bessie Lillian Gordy,2
Peter George,Mason Hoffenberg,2
Golda Meir,Bessie Lillian Gordy,2
Cynthia Snyder,Charles Bushman,2
James L. Brooks,Gary Cooper,2
Oskar Kokoschka,Barbara Lloyd,2
Vladimir Nabokov,Damian Elwes,2
Viva Zapata,Sanford Meisner,2
Harold Adamson,Debbie Reynolds,2
Philip Guston,Franz Kline,2
Dean Martin,Burt Lancaster,4
Mindin ' My Business,Harold Adamson,2
Marlon Sr,Marc Antony,2
Truman Capote,John Lennon,4
Jack Nicholson,Allen Ginsberg,48
Walter Kerr,Jackie Gleason,5
Mary Bridges,John Jr.,3
Marlon Brando,Harry Stanton,9
Jerry Orbach,Alfred Drake,2
John Nicholson,Bessie Smith,2
Warren Beatty,Larry King Live,4
Jules Dassin,John Randolph,3
