actual_OCC,coded_OCC,count
ATHLETE,NEWS,6
ANNOUNCER,ACTOR,5
SCIENTIST,TEACHER,2
EDUC OTHER,DIRECTOR,1
SECRETARY,PERSONAL,2
CLOWN,MILITARY,1
ARTIST,SCIENTIST,1
MILITARY,NEWS,3
JUDGE,JUDGE,15
JUDGE,MUSICIAN,1
TEACHER,CLOWN,1
CLOWN,COP,1
BIZOP,SCIENTIST,1
SALES,NEWS,3
ADMIN,PROF,21
ACTOR,CEO,14
AUTHOR,ATHLETE,7
NEWS,FARM,1
DIPLOMAT,LEGISLATOR,14
CEO,ARTIST,7
MUSICIAN,SECRETARY,3
FARM,COP,1
ARCHITECT,SCIENTIST,1
CLERGY,MUSICIAN,1
DIRECTOR,CEO,8
TEACHER,CEO,1
SALES,DIRECTOR,1
DANCER,COP,1
AUTHOR,LEGISLATOR,2
AUTHOR,DOCTOR,9
SALES,SECRETARY,1
MILITARY,ADMIN,6
MUSICIAN,PROF,15
BIZOP,BIZOP,1
ARCHITECT,MILITARY,1
EDUC OTHER,SCIENTIST,1
ENGINEER,AUTHOR,1
DIPLOMAT,DOCTOR,4
MUSICIAN,ARTS OTHER,2
ANNOUNCER,ARTS OTHER,1
JUDGE,LAWYER,13
MILITARY,COP,5
BLUE COLLAR,BLUE COLLAR,2
COP,LAWYER,4
DIPLOMAT,PROF,25
ACTOR,ARCHITECT,1
MATH,ADMIN,2
CEO,BLUE COLLAR,10
JUDGE,DIRECTOR,1
SCIENTIST,ADMIN,27
ADMIN,DIRECTOR,3
LAWYER,COP,2
SALES,CLERGY,3
SCIENTIST,FARM,1
ENGINEER,SALES,1
PROF,AUTHOR,38
DIRECTOR,ARCHITECT,2
ARTS OTHER,NURSE,1
DOCTOR,LAWYER,2
CEO,SECRETARY,13
NEWS,ARTS OTHER,3
DANCER,AUTHOR,2
AUTHOR,COUNSELOR,2
MUSICIAN,COP,3
EDUC OTHER,LEGISLATOR,1
PROF,NEWS,17
CEO,ADMIN,58
LEGISLATOR,DIPLOMAT,13
DIPLOMAT,ATHLETE,4
AUTHOR,TEACHER,3
ENGINEER,DIPLOMAT,3
DOCTOR,AUTHOR,1
MUSICIAN,TEACHER,2
SALES,PERSONAL,2
DOCTOR,CEO,14
DANCER,ACTOR,1
DIRECTOR,ACTOR,7
CLERGY,AUTHOR,6
ATHLETE,JUDGE,1
COP,SCIENTIST,2
BIZOP,ANNOUNCER,1
MILITARY,MUSICIAN,2
CEO,COUNSELOR,1
PROF,SECRETARY,5
MILITARY,LAWYER,3
COUNSELOR,LEGISLATOR,1
SALES,LEGISLATOR,2
COUNSELOR,AUTHOR,1
JUDGE,CEO,12
ARCHITECT,CLERGY,1
PERSONAL,CLOWN,2
COP,JUDGE,6
ACTOR,DANCER,6
ARTIST,PERSONAL,2
ARTS OTHER,ATHLETE,1
MILITARY,PROF,2
PERSONAL,BLUE COLLAR,1
ACTOR,AUTHOR,12
NEWS,MUSICIAN,5
TEACHER,AUTHOR,1
FINANCE,CEO,2
SCIENTIST,ARTS OTHER,3
ATHLETE,BIZOP,2
AUTHOR,ADMIN,8
BLUE COLLAR,ARTS OTHER,1
DANCER,NEWS,4
DOCTOR,DOCTOR,28
EDUC OTHER,ARTIST,5
CEO,ANNOUNCER,7
CEO,DOCTOR,13
ACTOR,SCIENTIST,3
ARCHITECT,DIPLOMAT,2
BLUE COLLAR,ARTIST,1
ARTS OTHER,NEWS,4
MUSICIAN,FARM,4
NEWS,ANNOUNCER,2
DANCER,PERSONAL,5
CLERGY,NEWS,4
DIPLOMAT,JUDGE,9
DIPLOMAT,NEWS,22
ATHLETE,SCIENTIST,2
SCIENTIST,SCIENTIST,67
CLOWN,PROF,1
MUSICIAN,ACTOR,10
LAWYER,SCIENTIST,2
ARTIST,JUDGE,1
DIRECTOR,LAWYER,2
AUTHOR,NEWS,34
SCIENTIST,NURSE,4
LAWYER,MUSICIAN,3
DOCTOR,BIZOP,2
ANNOUNCER,CLERGY,1
ARTS OTHER,SECRETARY,6
NEWS,PERSONAL,5
COP,AUTHOR,1
CLERGY,COUNSELOR,1
ANNOUNCER,ANNOUNCER,13
ACTOR,FARM,6
AUTHOR,SCIENTIST,17
CLOWN,CLOWN,12
BLUE COLLAR,LAWYER,1
MUSICIAN,LAWYER,2
LEGISLATOR,PERSONAL,3
COP,DOCTOR,2
MATH,EDUC OTHER,1
SALES,DIPLOMAT,5
MUSICIAN,BIZOP,7
DOCTOR,ATHLETE,2
COP,DIRECTOR,1
COUNSELOR,PROF,1
FINANCE,FINANCE,2
NEWS,CLERGY,5
ARTS OTHER,COP,1
CLOWN,BLUE COLLAR,2
SCIENTIST,BLUE COLLAR,5
SECRETARY,MUSICIAN,1
ANNOUNCER,PROF,2
NURSE,DOCTOR,1
MILITARY,AUTHOR,3
LEGISLATOR,JUDGE,6
ACTOR,SALES,4
NEWS,COP,4
DIPLOMAT,DIPLOMAT,67
CLERGY,ACTOR,1
LEGISLATOR,CEO,18
ARTIST,DIPLOMAT,2
ARTS OTHER,SALES,3
ADMIN,MILITARY,1
DANCER,DANCER,17
ACTOR,CLOWN,6
TEACHER,DANCER,1
BLUE COLLAR,DIPLOMAT,3
ARTIST,SECRETARY,1
TEACHER,COUNSELOR,2
ADMIN,SCIENTIST,9
SCIENTIST,ARTIST,5
ARTS OTHER,TEACHER,1
DOCTOR,BLUE COLLAR,2
DIRECTOR,FINANCE,1
LAWYER,SECRETARY,3
FARM,CEO,1
DOCTOR,ARCHITECT,1
SCIENTIST,PROF,66
LEGISLATOR,SALES,5
LEGISLATOR,PROF,2
CEO,EDUC OTHER,1
AUTHOR,NURSE,1
PROF,MATH,8
ANNOUNCER,CLOWN,4
CEO,LAWYER,34
ACTOR,COP,12
MILITARY,SECRETARY,2
COUNSELOR,COUNSELOR,4
ACTOR,ACTOR,40
ARTIST,CLERGY,3
JUDGE,ATHLETE,1
DIPLOMAT,MILITARY,5
DANCER,CLOWN,2
CEO,CLERGY,15
ATHLETE,ARTIST,3
CEO,PROF,28
ARTIST,AUTHOR,6
NEWS,DOCTOR,4
ANNOUNCER,ARTIST,1
MUSICIAN,BLUE COLLAR,4
DOCTOR,EDUC OTHER,1
PROF,MUSICIAN,9
MUSICIAN,NEWS,6
DIRECTOR,DIRECTOR,13
ACTOR,PERSONAL,12
ARTS OTHER,ENGINEER,5
CLOWN,AUTHOR,3
DOCTOR,MUSICIAN,2
ARTS OTHER,BLUE COLLAR,2
NEWS,SECRETARY,3
SECRETARY,JUDGE,1
PERSONAL,ADMIN,1
NEWS,ENGINEER,2
ATHLETE,MUSICIAN,2
ADMIN,AUTHOR,10
ACTOR,LEGISLATOR,1
CEO,MILITARY,9
CLERGY,FARM,1
MUSICIAN,DOCTOR,3
DIPLOMAT,DIRECTOR,1
CEO,DIPLOMAT,77
JUDGE,LEGISLATOR,1
ARTIST,LEGISLATOR,1
SALES,COUNSELOR,1
LAWYER,DIRECTOR,1
DOCTOR,COP,1
NEWS,NEWS,46
DIRECTOR,SCIENTIST,1
NEWS,COUNSELOR,1
BIZOP,PROF,1
LAWYER,DOCTOR,1
ARTIST,EDUC OTHER,2
BLUE COLLAR,SALES,1
DIPLOMAT,PERSONAL,5
ADMIN,ANNOUNCER,3
MUSICIAN,FINANCE,1
MUSICIAN,SCIENTIST,5
SCIENTIST,SALES,3
COP,PERSONAL,2
ARCHITECT,BLUE COLLAR,2
DIRECTOR,SALES,2
CLOWN,DIPLOMAT,2
ANNOUNCER,MILITARY,1
MUSICIAN,CLOWN,7
MUSICIAN,MUSICIAN,76
MUSICIAN,EDUC OTHER,1
LEGISLATOR,AUTHOR,6
JUDGE,SALES,2
BIZOP,CEO,3
EDUC OTHER,PERSONAL,1
SCIENTIST,CLOWN,1
DIRECTOR,PERSONAL,7
CLOWN,NEWS,3
NEWS,SALES,1
PROF,JUDGE,6
ANNOUNCER,AUTHOR,4
COP,ADMIN,4
AUTHOR,COP,8
ARCHITECT,LEGISLATOR,1
FINANCE,TEACHER,1
MUSICIAN,DANCER,6
SALES,ADMIN,4
SCIENTIST,NEWS,9
BIZOP,LAWYER,1
SCIENTIST,JUDGE,2
ARTIST,CLOWN,1
JUDGE,TEACHER,1
SECRETARY,CEO,2
BIZOP,CLERGY,1
COUNSELOR,CLERGY,1
ARTS OTHER,LEGISLATOR,1
CEO,ATHLETE,8
ACTOR,DIRECTOR,5
SCIENTIST,ENGINEER,3
ARTIST,PROF,3
CLERGY,ARTS OTHER,2
CEO,NEWS,17
ADMIN,JUDGE,3
BLUE COLLAR,PROF,1
JUDGE,SECRETARY,2
ACTOR,PROF,2
ACTOR,MUSICIAN,16
TEACHER,ADMIN,2
DANCER,CEO,2
NEWS,LAWYER,5
LEGISLATOR,NURSE,1
ATHLETE,PROF,7
ADMIN,MUSICIAN,6
SCIENTIST,LEGISLATOR,2
MUSICIAN,ANNOUNCER,4
PROF,DIPLOMAT,26
SCIENTIST,FINANCE,2
ARCHITECT,NEWS,1
COP,CEO,6
DIPLOMAT,EDUC OTHER,3
ARTS OTHER,BIZOP,2
AUTHOR,AUTHOR,84
COP,DIPLOMAT,9
ATHLETE,ACTOR,1
ENGINEER,PROF,2
BIZOP,PERSONAL,1
ARTS OTHER,EDUC OTHER,2
CLOWN,PERSONAL,3
PERSONAL,SECRETARY,1
CEO,FINANCE,14
SECRETARY,COP,1
ARTS OTHER,MUSICIAN,1
EDUC OTHER,DIPLOMAT,3
DIRECTOR,EDUC OTHER,1
ADMIN,LEGISLATOR,1
ATHLETE,ENGINEER,2
ADMIN,DIPLOMAT,30
ACTOR,ANNOUNCER,2
PROF,MILITARY,1
LEGISLATOR,EDUC OTHER,1
DIRECTOR,ANNOUNCER,3
SCIENTIST,LAWYER,5
ANNOUNCER,COP,1
ADMIN,EDUC OTHER,2
ARCHITECT,ENGINEER,2
BLUE COLLAR,JUDGE,1
ARCHITECT,AUTHOR,2
SCIENTIST,CLERGY,7
CLERGY,LAWYER,5
ACTOR,JUDGE,4
FARM,DOCTOR,1
CLERGY,LEGISLATOR,2
ANNOUNCER,SCIENTIST,3
BLUE COLLAR,DOCTOR,2
ARTS OTHER,ACTOR,4
NEWS,MILITARY,1
MUSICIAN,ARCHITECT,3
LEGISLATOR,LAWYER,7
ARCHITECT,CEO,5
ARTIST,ARCHITECT,3
TEACHER,SCIENTIST,1
ANNOUNCER,BLUE COLLAR,1
ATHLETE,LAWYER,2
DANCER,MUSICIAN,5
ADMIN,DANCER,1
PERSONAL,COP,2
NEWS,SCIENTIST,7
AUTHOR,FARM,1
LEGISLATOR,FARM,2
LAWYER,ARCHITECT,1
NEWS,ACTOR,4
LEGISLATOR,ADMIN,6
PERSONAL,DOCTOR,1
EDUC OTHER,SALES,1
PROF,PERSONAL,7
ATHLETE,ARCHITECT,1
ADMIN,BIZOP,7
DIRECTOR,ARTS OTHER,1
DIPLOMAT,FARM,6
ATHLETE,BLUE COLLAR,6
ARCHITECT,SALES,1
ANNOUNCER,FARM,4
SCIENTIST,ATHLETE,1
ATHLETE,COP,8
CLERGY,BIZOP,1
ANNOUNCER,ADMIN,7
MUSICIAN,CEO,26
CLERGY,JUDGE,3
PROF,DANCER,2
CLERGY,CLERGY,28
SALES,AUTHOR,1
MILITARY,JUDGE,3
ENGINEER,ARCHITECT,2
SCIENTIST,MUSICIAN,5
PROF,LAWYER,9
TEACHER,DOCTOR,1
ADMIN,DOCTOR,9
CLOWN,SCIENTIST,1
EDUC OTHER,ACTOR,1
ENGINEER,DOCTOR,1
EDUC OTHER,BIZOP,1
ADMIN,FARM,4
ARTIST,COP,1
MILITARY,DIPLOMAT,13
MILITARY,COUNSELOR,1
BLUE COLLAR,ENGINEER,1
LAWYER,CLOWN,1
ANNOUNCER,BIZOP,2
ATHLETE,DIPLOMAT,10
ATHLETE,COUNSELOR,1
ATHLETE,CLOWN,3
ARTIST,BIZOP,2
DIPLOMAT,ENGINEER,3
DANCER,ENGINEER,2
CEO,TEACHER,2
PERSONAL,AUTHOR,3
PERSONAL,CEO,4
LAWYER,LEGISLATOR,5
LEGISLATOR,BIZOP,2
BIZOP,AUTHOR,1
SCIENTIST,ARCHITECT,3
LAWYER,ACTOR,1
ADMIN,NEWS,15
ATHLETE,CLERGY,3
MUSICIAN,DIRECTOR,1
LAWYER,LAWYER,34
MATH,CLERGY,1
TEACHER,TEACHER,2
MILITARY,BIZOP,2
LEGISLATOR,NEWS,9
DIPLOMAT,ACTOR,1
ARTS OTHER,CLOWN,1
PROF,FARM,3
SECRETARY,BLUE COLLAR,1
CEO,DIRECTOR,2
CLOWN,CEO,5
PROF,ATHLETE,2
CEO,ARCHITECT,4
DIRECTOR,CLOWN,1
ADMIN,SECRETARY,4
ATHLETE,ANNOUNCER,4
AUTHOR,MATH,2
ADMIN,ENGINEER,5
NEWS,ADMIN,8
ATHLETE,LEGISLATOR,2
COP,SALES,3
PROF,EDUC OTHER,2
ADMIN,ARCHITECT,3
MILITARY,ATHLETE,1
DIPLOMAT,LAWYER,17
SALES,BIZOP,4
EDUC OTHER,ATHLETE,1
SALES,ARTIST,6
CLOWN,SALES,3
SALES,SALES,9
DIPLOMAT,COUNSELOR,1
DIPLOMAT,SALES,11
BIZOP,ARTIST,2
BLUE COLLAR,SCIENTIST,1
ADMIN,ACTOR,3
AUTHOR,LAWYER,16
DIPLOMAT,MUSICIAN,9
SALES,FINANCE,1
COUNSELOR,CEO,4
ARCHITECT,DOCTOR,1
CLOWN,ATHLETE,1
DOCTOR,JUDGE,1
SECRETARY,DIPLOMAT,1
ARTS OTHER,CLERGY,3
ARCHITECT,ARCHITECT,6
PROF,ENGINEER,2
SALES,CEO,9
FINANCE,DIPLOMAT,1
MILITARY,ACTOR,1
CEO,PERSONAL,19
PERSONAL,FARM,1
ADMIN,ATHLETE,7
LEGISLATOR,COP,1
ARTS OTHER,LAWYER,2
MILITARY,PERSONAL,5
PROF,COUNSELOR,2
PERSONAL,PROF,1
CLOWN,BIZOP,1
CLOWN,ACTOR,4
ARTS OTHER,ANNOUNCER,1
ATHLETE,CEO,21
PROF,BIZOP,4
ATHLETE,AUTHOR,6
ADMIN,SALES,6
BLUE COLLAR,SECRETARY,1
PROF,ACTOR,2
SCIENTIST,DIRECTOR,3
SCIENTIST,DIPLOMAT,15
LAWYER,DIPLOMAT,14
DIRECTOR,CLERGY,4
DIRECTOR,ARTIST,4
COP,CLERGY,2
ATHLETE,SALES,2
ARTIST,DOCTOR,2
ENGINEER,CEO,6
TEACHER,BIZOP,1
ACTOR,CLERGY,5
ACTOR,DOCTOR,6
SALES,LAWYER,1
SALES,SCIENTIST,3
ARTS OTHER,ARTS OTHER,18
PROF,SALES,5
CEO,SALES,10
PROF,TEACHER,3
