actual_OCC,coded_OCC,count
AUTHOR,DIPLOMAT,3
EDUC OTHER,LAWYER,1
SCIENTIST,DIPLOMAT,4
PROF,NEWS,2
DIRECTOR,MUSICIAN,1
MUSICIAN,DANCER,1
CEO,ADMIN,17
LAWYER,DIPLOMAT,7
AUTHOR,TEACHER,1
NURSE,AUTHOR,1
MILITARY,ARCHITECT,1
ARTIST,PROF,3
CLERGY,ARTS OTHER,1
MILITARY,JUDGE,1
DOCTOR,CEO,2
LAWYER,ANNOUNCER,1
TEACHER,AUTHOR,1
DIRECTOR,ACTOR,2
DIRECTOR,DIPLOMAT,4
LAWYER,PROF,1
NEWS,CLOWN,1
ACTOR,MUSICIAN,7
ARCHITECT,CEO,2
COP,SCIENTIST,1
DIRECTOR,SALES,1
BIZOP,ANNOUNCER,1
MILITARY,MUSICIAN,1
DOCTOR,ADMIN,2
NEWS,DIPLOMAT,4
ARTIST,MUSICIAN,1
CLOWN,MILITARY,1
DIPLOMAT,LEGISLATOR,1
DIPLOMAT,ARTIST,1
CEO,DIPLOMAT,40
ADMIN,MUSICIAN,1
PROF,CLERGY,4
MUSICIAN,ANNOUNCER,1
SALES,LAWYER,1
COUNSELOR,AUTHOR,1
ARTS OTHER,ARTS OTHER,15
PROF,DIPLOMAT,9
ANNOUNCER,ATHLETE,1
ACTOR,NEWS,1
ARCHITECT,NEWS,1
ENGINEER,ARTS OTHER,1
PROF,TEACHER,1
ACTOR,DANCER,1
