code,notSure,officialTitle
511,511,Billing and Posting Clerks and Machine Operators
512,512,"Bookkeeping, Accounting, and Auditing Clerks"
513,513,Gaming Cage Workers
514,514,Payroll and Timekeeping Clerks
515,515,Procurement Clerks
516,516,Tellers
520,520,Brokerage Clerks
521,(See code 535),Correspondence Clerks
522,522,"Court, Municipal, and License Clerks"
523,523,"Credit Authorizers, Checkers, and Clerks"
524,524,Customer Service Representatives
525,525,"Eligibility Interviewers, Government Programs"
526,526,File Clerks
530,530,"Hotel, Motel, and Resort Desk Clerks"
531,531,"Interviewers, Except Eligibility and Loan"
532,532,"Library Assistants, Clerical"
533,533,Loan Interviewers and Clerks
534,534,New Accounts Clerks
535,535 (Inc. 521),Correspondence Clerks and Order Clerks
536,536,"Human Resources Assistants, Except Payroll and Timekeeping"
540,540,Receptionists and Information Clerks
541,541,Reservation and Transportation Ticket Agents and Travel Clerks
542,542,"Information and Record Clerks, All Other"
550,550,Cargo and Freight Agents
551,551,Couriers and Messengers
552,552,Dispatchers
553,553,"Meter readers, Utilities"
554,554,Postal Service Clerks
555,555,Postal Service Mail Carriers
556,556,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
560,560,"Production, Planning and Expediting Clerks"
561,561,"Shipping, Receiving, and Traffic Clerks"
562,562,Stock Clerks and Order Filers
563,563,"Weighers, Measurers, Checkers, and Samplers, Record keeping"
570,570,Secretaries and Administrative Assistants
580,580,Computer Operators
581,581,Data Entry Keyers
582,582,Word Processors and Typists
583,583,Desktop Publishers
584,584,Insurance Claims and Policy Processing Clerks
585,585,"Mail Clerks and Mail Machine Operators, Except Postal Service"
586,586,"Office Clerks, General"
590,590,"Office Machine Operators, Except Computer"
591,591,Proofreaders and Copy Markers
592,592,Statistical Assistants
593,593,"Office and Administrative Support Workers, All Other"
"Farming, Fishing, and Forestry Occupations",,
600,600,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers"
601,601,Agricultural Inspectors
602,(See code 605),Animal Breeders
604,604,"Graders and Sorters, Agricultural Products"
605,605 (Inc. 602),"Miscellaneous Agricultural Workers, Including Animal Breeders"
610,610 (Inc. 611),Fishing and Hunting Workers
611,(See code 610),Hunters and Trappers
612,612,Forest and Conservation Workers
613,613,Logging Workers
"Construction, Extraction, and Maintenance Occupations",,
Construction Trades,,
620,620,First-Line Supervisors/Managers of Construction Trades and Extraction Workers
621,621,Boilermakers
622,622,"Brickmasons, Blockmasons, and Stonemasons"
623,623,Carpenters
624,624,"Carpet, Floor, and Tile Installers and Finishers"
625,625,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
626,626,Construction Laborers
630,630,"Paving, Surfacing, and Tamping Equipment Operators"
631,(See code 632),Pile-Driver Operators
632,632 (Inc. 631),Miscellaneous Construction Equipment Operators
633,633,"Drywall Installers, Ceiling Tile Installers, and Tapers"
635,635,Electricians
636,636,Glaziers
640,640,Insulation Workers
642,642,"Painters, Construction and Maintenance"
643,643,Paperhangers
644,644,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
646,646,Plasterers and Stucco Masons
650,(See code 653),Reinforcing Iron and Rebar Workers
651,651,Roofers
652,652,Sheet Metal Workers
653,653 (Inc. 650),Iron and Steel Workers
660,660,"Helpers, Construction Trades"
666,666,Construction and Building Inspectors
670,670,Elevator Installers and Repairers
671,671,Fence Erectors
672,672,Hazardous Materials
673,673,Highway Maintenance Workers
674,674,Rail-Track Laying and Maintenance Equipment Operators
675,675,Septic Tank Servicers and Sewer Pipe Cleaners
676,676,Miscellaneous Construction and Related Workers
Extraction Workers,,
680,680 (Inc. 692),"Derrick, Rotary Drill, and Service Unit Operators, and Roustabouts, Oil, Gas, and Mining"
682,682,"Earth Drillers, Except Oil and Gas"
683,683,"Explosives Workers, Ordnance Handling Experts, and Blasters"
684,684,Mining Machine Operators
691,(See code 694),"Roof Bolters, Mining"
692,(See code 680),"Roustabouts, Oil and Gas"
693,(See code 694),Helpers -- Extraction Workers
694,"694 (Inc. 691, 693)","Miscellaneous Extraction Workers, Including Roof Bolters and Helpers"
"Installation, Maintenance, and Repair Workers",,
700,700,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers"
701,701,"Computer, Automated Teller, and Office Machine Repairers"
702,702,Radio and Telecommunications Equipment Installers and Repairers
703,703,Avionics Technicians
704,704,"Electric Motor, Power Tool, and Related Repairers"
705,(See code 710),"Electrical and Electronics Installers and Repairers, Transportation Equipment"
710,710 (Inc. 705),"Electrical and Electronics Repairers, Industrial, Utility, and Transportation Equipment"
711,711,"Electronic Equipment Installers and Repairers, Motor Vehicles"
712,712,Electronic Home Entertainment Equipment Installers and Repairers
713,713,Security and Fire Alarm Systems Installers
714,714,Aircraft Mechanics and Service Technicians
715,715,Automotive Body and Related Repairers
716,716,Automotive Glass Installers and Repairers
720,720,Automotive Service Technicians and Mechanics
721,721,Bus and Truck Mechanics and Diesel Engine Specialists
722,722,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
724,724,Small Engine Mechanics
726,726,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
730,730,Control and Valve Installers and Repairers
731,731,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
732,732,Home Appliance Repairers
733,733,Industrial and Refractory Machinery Mechanics
734,734,"Maintenance and Repair Workers, General"
735,735,"Maintenance Workers, Machinery"
736,736,Millwrights
741,741,Electrical Power-Line Installers and Repairers
742,742,Telecommunications Line Installers and Repairers
743,743,Precision Instrument and Equipment Repairers
751,751,"Coin, Vending, and Amusement Machine Servicers and Repairers"
752,(See code 762),Commercial Divers
754,754,Locksmiths and Safe Repairers
755,755,Manufactured Building and Mobile Home Installers
756,756,Riggers
760,(See code 762),Signal and Track Switch Repairers
761,761,"Helpers--Installation, Maintenance, and Repair Workers"
762,"762 (Inc. 752, 760)","Other Installation, Maintenance, and Repair Workers, Including Commercial Drivers and Signal and Track Switch Repairers"
"Production, Transportation, and Material Moving Occupations",,
Production Occupations,,
770,770,First-Line Supervisors/Managers of Production and Operating Workers
771,771,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
772,772,"Electrical, Electronics, and Electromechanical Assemblers"
