id,title,firstSentence
22605,"Joseph Raskin, 84, an Artist And Co-Author of 10 Books","Joseph Raskin, an artist, etcher and co-author with his wife, Edith, of 10 books for young adults, died in Manhattan on Tuesday."
58869,"Alfred C. Bruce, 88, An Ex-Civil Engineer","Alfred C. Bruce, a retired civil engineer and business executive, died of heart disease Thursday at a nursing home in East Haven, Conn."
52238,"Kendall L. Hayes; Songwriter, 59","Kendall L. Hayes, a country-music songwriter whose song ""Walk On By"" was recorded by 150 artists, died on Friday at his home here."
50619,"Irwin H. Pizer; Medical Librarian, 56","Irwin H. Pizer, a former health-sciences librarian and professor of library administration for the University of Illinois at Chicago, died on Monday at his home in Chicago."
1430,"Irwin Freedberg, 74, Dermatologist and Professor","Dr. Irwin M. Freedberg, a dermatologist and an influential educator at New York University who led national medical organizations and advanced the study of the genetic foundation of the skin, hair and nails, died on Sunday at N.Y.U."
7433,"John H. Williams, 35, Ted Williams's Son","John Henry Williams, who sent the body of his father, Ted Williams, the Boston Red Sox Hall of Famer, to be frozen at an Arizona cryonics laboratory, died on Saturday at a hospital in Los Angeles."
45772,"George Girard, 83, Queens Pastry Maker","George Girard, a pastry maker whose shop, La Vie en Rose in Long Island City, Queens, supplied prominent restaurants and airlines for a quarter-century, died on May 22 at his home in Long Island City."
31371,"Timothy Gelatt, 39, Chinese Law Expert","Timothy A. Gelatt, a lawyer and an authority on Chinese law, died late Monday at St. Vincent's Hospital in Manhattan."
1067,"Gladys Groves, Pioneer In Marriage Counseling","Gladys Hoagland Groves, a pioneer among educators in counseling on sex and marriage and former professor of family relations at University of North Carolina at Chapel Hill, died Friday at Bayside Hospital in Virginia Beach, Va. She was 86 years old and lived in Virginia Beach."
29278,"DICK MERRILL, PILOT, IS DEAD AT 88; HELD SEVERAL RECORDS IN AVIATION","Henry Tindall (Dick) Merrill, a pioneer aviator who in 1936 made the first trans-Atlantic round-trip flight in an airplane, died Sunday at his summer home in Lake Elsinore, Calif."
50039,"Koong-Kai Tse, 91, Insurance Executive","Koong-Kai Tse, a former senior executive of the American International Group, one of the nation's largest insurers, died March 9 at Lenox Hill Hospital."
32917,"Marion S. Wyeth, Architect; Designed Buildings in Florida","Marion S. Wyeth, an architect who had designed many homes in Palm Beach, Fla., and institutional buildings in the area, died last Thursday at the Good Samaritan Hospital in West Palm Beach."
31932,"C. Arosemena, 84, Ex-Ecuador Leader","Carlos Julio Arosemena, a onetime president of Ecuador whose term ended in a military coup in 1963, died Friday."
49554,"Robert M. Gray, Ad Executive, 85","Robert M. Gray, an advertising executive who devised the ''Tiger in Your Tank'' gasoline campaign for Exxon in the mid-1960's, died Friday at the Twelve Oaks Hospital in Houston."
44184,"Sherm Chavoor, 73, A Swimming Coach","Sherm Chavoor, who coached the Olympic swimming champions Mark Spitz, Debbie Meyer-Reyes and Mike Burton, died of cancer on Thursday."
10028,"R.L. Burnside, 78, Master Of Raw Mississippi Blues","R.L. Burnside, a blues singer and guitarist who found fame only in his gray years, when his music was embraced by young rock fans and remixed with electronic beats, died yesterday at a hospital in Memphis."
46267,"James Salter, a 'Writer's Writer' Short on Sales but Long on Acclaim, Dies at 90","James Salter, whose intimately detailed novels and short stories kept a small but devoted audience in his thrall for more than half a century, died on Friday in Sag Harbor, N.Y."
6690,"Doris Carson, Musical Actress, 83","Doris Carson, who sang and danced in a number of Broadway musicals, died on Feb. 20 at her home in Rancho Mirage, Calif. She was 83."
47643,"Zhang Chunqiao, 88, One of China's Gang of Four, Dies","Zhang Chunqiao, a radical Maoist who held several positions at the apex of China's government when he was convicted in 1981 as a member of the infamous Gang of Four, died April 21, the Chinese government reported yesterday."
33531,"James L. Hymes Jr., 84, Author And Specialist on Child-Rearing","James Lee Hymes Jr., a national authority on early education who taught generations of parents and teachers how to raise and teach preschoolers and first graders, died on March 6 at El Camino Hospital in Cupertino, Calif."
52847,"Eugene Blanc Jr., 88, A Manhattan Lawyer","Eugene Blanc Jr., who practiced law in Manhattan for 65 years, died on Monday at New York Hospital."
10838,"Morton Bard, 73, Authority on Crime Victims","Morton Bard, who was widely known for his research on the psychology of crime victims, died on Thursday at his home in Atlanta."
57510,DR. ARCHIE F. HAY,"Dr. Archie F. Hay, deputy director of the Bergen County Board of Freeholders and a former County Superintendent of Schools, died of a heart attack Thursday at Pascack Valley Hospital in Westwood, N.J."
21921,"Arthur J. Keeffe, 86, a Law Professor, Dies","Arthur J. Keeffe, a law professor and columnist on legal matters, died of congestive heart failure Monday while recuperating from surgery at Georgetown University Hospital in Washington."
50025,Kay Sugahara Is Dead; Ship Executive Was 79,"Kay Sugahara, a Japanese-American who was interned on the West Coast after the Pearl Harbor attack and who later built a worldwide ship-owning business and worked for better relations between the United States and East Asian nations, died of liver cancer Sunday at his home in Pelham Manor, N.Y."
21006,"Herva Nelli, 85, Soprano and Chef","Herva Nelli, an Italian-born soprano who became a professional cook when her singing career ended, died yesterday at the Sharon Country Manor in Sharon, Conn. She was 85."
788,"Harry Holiday Jr., 75, Former Chief of Armco","Harry Holiday Jr., a former chief executive of the steelmaker Armco Inc. and a world champion swimmer, died on Tuesday in Boynton Beach, Fla."
2365,Angus McBean Dead; Photographer Was 86,"Angus McBean, the best-known British photographer of actors and other entertainers, died of undisclosed causes on Saturday at Ipswich General Hospital in eastern England."
24086,"Nathan R. Sobel, 91, Judge And an Adviser to Politicians","Nathan R. Sobel, a beloved Brooklyn lawyer, judge and adviser to several state political leaders whose career spanned seven decades, died yesterday at New York Hospital-Cornell Medical Center."
26386,John E. Kerrigan Dies; Former Boston Official,"John E. Kerrigan, a longtime City Councilman and former Mayor of Boston, died Saturday of cardiac arrest."
13970,"Franklin Roosevelt Jr., 74, Ex-Congressman, Dies","Franklin Delano Roosevelt Jr., a former United States Representative from New York and a son of the 32d President of the United States, died of lung cancer yesterday, his 74th birthday, at Vassar Brothers Hospital in Poughkeepsie, N.Y."
29820,"Seymour Finger, 90, Diplomat For U.S. at the United Nations","Seymour M. Finger, a retired United States diplomat at the United Nations and a recognized authority on foreign affairs, died on Sunday at his home in Manhattan."
28769,"Del Ennis, 70, Star of Phillies' 1950 Whiz Kids","Del Ennis, a slugging outfielder for the Philadelphia Phillies and a star on the 1950 National League pennant-winning team dubbed the Whiz Kids, died last Thursday at his home in Huntingdon Valley, Pa."
42906,"Eunice Simpson, 80, O. J. Simpson's Mother","Eunice Simpson, the mother of O. J. Simpson, was found dead in her home of natural causes on Friday morning, the medical examiner's office said."
58036,"Enoch Powell, British Rightist, Dies at 85","Enoch Powell, an eloquent, right-wing British political figure known for an address he gave in 1968 opposing immigration from former British colonies, died yesterday in King Edward VII Hospital in London."
27089,"Victor J. Herwitz, Manhattan Lawyer, Dies","Victor J. Herwitz, a Manhattan lawyer for more than 50 years and former chief assistant Corporation Counsel of New York City, died Saturday at Mount Sinai Hospital Center after a long illness."
57847,"Ruth Fox, 93, Dies; Psychoanalyst Pioneered in Treating Alcoholism","Dr. Ruth Fox, a psychoanalyst who in 1959 became the first medical director of The National Council on Alcoholism, an agency devoted to alcoholism prevention, died in her sleep Friday at a nursing home in Washington."
19780,"Barbara Robinson, Children's Book Author, Dies at 85","Barbara Robinson, a children's author whose beloved and irreverent novel ''The Best Christmas Pageant Ever'' describes how a church play is hijacked by a Scripture-ignorant and all-around troublesome set of six siblings, died on Tuesday at her home in Berwyn, Pa. She was 85."
58107,ROSA K. EICHELBERGER,"Rosa Kohler Eichelberger, author of children's books, peace activist and lecturer, died Saturday at Mount Sinai Hospital."
16005,"Geordie Graham, 88, a Dancer With Denishawn Company, Dies","Georgia Graham Sargeant, a former leading dancer in the Denishawn company in the 1920's and a sister of Martha Graham, the modern-dance pioneer, died Tuesday in Tucson."
48868,"Michelle Thomas, 30, Actress On TV Soap Opera and Sitcoms","Michelle Thomas, an actress in the television programs ""The Cosby Show,"" ""Family Matters"" and ""The Young and the Restless"" died on Wednesday at Memorial Sloan-Kettering Cancer Center in Manhattan."
51010,"Chauncey Eskridge, Lawyer for Dr. King","Chauncey Eskridge, once legal counsel for the Rev."
35485,"John Gross Dies at 75; Critic, Essayist and Editor","John Gross, the editor of The Times Literary Supplement in London in the 1970s and a book critic for The New York Times in the 1980s who was known for his fluid style and easy erudition, died on Monday in London."
46763,"D. Carleton Gajdusek, Who Won Nobel For Work on Brain Disease, Is Dead at 85","D. Carleton Gajdusek, a virologist who won the 1976 Nobel Prize in medicine for his work on the mysterious epidemics now known as prion diseases, died last week in Tromso, Norway."
16912,"Jack Clement, 82, Producer And Country Songwriter","Jack Clement, whose career as a producer, engineer, songwriter and arranger began in the early days of rock 'n' roll and included work with country stars like Johnny Cash, Waylon Jennings and Charley Pride as well as noncountry artists like U2, died on Thursday at his home in Nashville."
55247,"Pearl Resnick, 87, Philanthropist and Head of Real Estate Family","Pearl Resnick, the matriarch of a prominent New York real estate family and a philanthropist, died yesterday at a hospital in West Palm Beach, Fla. She was 87 and lived in Manhattan and Palm Beach."
37924,Valentin Sokolov Dies at 58; A Soviet Dissident and Poet,"Valentin Sokolov, a Soviet dissident who was a poet and writer, died earlier this month in a Soviet psychiatric clinic, the International Society for Human Rights reported today."
25920,"William R. Glendon, 89, Dies; Argued for Right to Publish Pentagon Papers","William R. Glendon, a First Amendment lawyer who represented The Washington Post in the Pentagon Papers case, died Dec. 25 in White Plains."
56961,LEON GOLDFARB,"Leon Goldfarb, a successful plaintiff in a suit that charged that a provision of the Social Security Act unconstitionally discriminated on the basis of sex, died Sunday at a nursing home in Rockville, Md., after a long illness."
33490,"Zeke Segal, Journalist, 78","Zeke Segal, a former Southeastern bureau chief for CBS News who was considered the dean of Atlanta's media corps during the years when what has been called the New South was emerging, died on Aug. 22 in Atlanta."
38054,"Nathan Witt, Labor Lawyer; Ex-Secretary of the N.L.R.B.","Nathan Witt, a labor lawyer who was secretary of the National Labor Relations Board from 1937 to 1941, died Monday at University Hospital in Manhattan."
35651,"Col. Gaston de Bonneval, 86, De Gaulle's Closest Confidant","Col. Gaston de Bonneval, a French Resistance fighter who spent two decades as Charles de Gaulle's right hand, left hand and half-a-step-behind man, died on Oct. 2 at his home in St.-Mande, France."
21533,RUSSELL PEARCE HEUER,"Russell Pearce Heuer, retired chairman of the General Refractories Company of Philadelphia, died last Friday."
48589,"Irving S. Shapiro, 85, Lawyer And Ex-Chairman of DuPont","Irving S. Shapiro, a former chairman of the DuPont Company who evolved into corporate America's lead liaison to Washington in the 1970's, died on Thursday."
30662,"Arthur Woodley, 84, An Aviation Executive","Arthur Woodley, an aviation pioneer who brought air shuttle service to Alaska when dog teams were used to transport supplies there, died on Monday at his home here."
36319,"Julio F. Sorzano, 96, Wartime Entertainer","Julio Francisco Sorzano, a retired businessman who helped provide entertainment for American troops in World War II, died on Sunday at his home in Water Mill, L.I."
17372,"Harry W. Faeber, Designer, 95","Harry W. Faeber, a designer of printing presses and a consultant to printing concerns around the world, died at Brookhaven (L.I.)"
45653,"Nancy Paterson, 56; Aided In Milosevic Investigation","Nancy Paterson, an international war crimes prosecutor who played a leading role in building the case linking the former Yugoslav president Slobodan Milosevic to massacres, mass rape and ethnic cleansing in the Balkans in the 1990s, died on March 27 at her home in Bethesda, Md."
55702,"Kurt Saffir, Conductor And Accompanist, 59","Kurt Saffir, a Manhattan vocal accompanist, coach and opera conductor, died at Mt."
25533,"Peter Doohan, 56, Tennis Player Who Beat Becker at Wimbledon","Peter Doohan, an Australian former tennis professional who became known as the Becker Wrecker after upsetting Boris Becker at Wimbledon in 1987, died on Friday."
25844,"Lesley Gore, Teenage Voice of Heartbreak, Dies at 68","Lesley Gore, who was a teenager in the 1960s when she recorded hit songs about heartbreak and resilience that went on to become feminist touchstones, died on Monday in Manhattan."
49058,"Brett Averill; Newspaper Editor, 37","Brett Averill, who was the editor of The New York Native, a gay newspaper, during the early years of the AIDS epidemic, died on Tuesday at his home in San Francisco."
5393,"Dennis Duggan, 78, a New York Byline for Generations","Dennis Duggan, who chronicled life in New York City over six decades for five newspapers, started a column about the subways that inspired other papers to run features on commuting and was part of a team that won a Pulitzer Prize, died yesterday at St. Vincent's Hospital Manhattan."
8750,"G. Chester, 73, Dies; Was an Executive For TV Game Shows","Giraud Chester, an author and television executive responsible for shows that include ""The Price is Right,"" ""Family Feud"" and ""What's My Line?"""
16977,Marion E. Martin Dies at 86; Began G.O.P. Women's Clubs,"Marion E. Martin, founder of the National Federation of Republican Women's Clubs, died Thursday at her home here."
59735,"Suzanne Prou, 75, French Novelist and Activist","Suzanne Prou, a French novelist and militant opponent of anti-Semitism, died in Paris, where she lived, during the night of Dec. 29-30."
20036,"Dola de Jong, 92, Author of Mystery Novels","Dola de Jong, who won the Edgar Allen Poe Award for her mystery ""The Whirligig of Time,"" died here last Wednesday."
