Full Name,Last Name,Date of Death
Gov. Ralph M. Paiewonsky,Paiewonsky,11/19/1991
Gov. John Nichols Dalton,Dalton,7/30/1986
Gov. Mills Edwin Godwin,Godwin,1/30/1999
,,
Gov. Albertis S. Harrison,Harrison,1/23/1995
Gov. James Lindsay Almond,Almond,4/15/1986
Gov. William Munford Tuck,Tuck,6/9/1983
Gov. Colgate Whitehead Darden,Darden,6/9/1981
Gov. Booth Gardner,Gardner,3/15/2013
Gov. John Dennis Spellman,Spellman,1/16/2018
Gov. Dixy Lee Ray,Ray,1/2/1994
Gov. Albert Dean Rosellini,Rosellini,10/10/2011
Gov. Arch A. Moore,Moore,1/7/2015
,,
Gov. Hulett Carlson Smith,Smith,1/15/2012
Gov. William W. Barron,Barron,11/12/2002
Gov. Cecil H. Underwood,Underwood,11/24/2008
,,
Gov. Okey Leonidas Patteson,Patteson,7/3/1989
Gov. Lee Sherman Dreyfus,Dreyfus,1/2/2008
Gov. Patrick Joseph Lucey,Lucey,5/10/2014
Gov. Warren P. Knowles,Knowles,5/1/1993
Gov. John W. Reynolds,Reynolds,1/6/2002
Gov. Gaylord Anton Nelson,Nelson,7/3/2005
Gov. Vernon W. Thomson,Thomson,4/2/1988
Gov. Edward Herschler,Herschler,2/5/1990
Gov. Stanley K. Hathaway,Hathaway,10/4/2005
Gov. Clifford P. Hansen,Hansen,10/20/2009
Gov. Milward L. Simpson,Simpson,6/11/1993
