name,dod,gov_of
Jeremiah McLain Rusk,1893-11-21T00:00:00Z,Governor of Wisconsin
James Ole Davidson,1922-12-17T00:00:00Z,Governor of Wisconsin
John Webster,1661-04-05T00:00:00Z,Governor of Connecticut
Joseph Talcott,1741-10-22T00:00:00Z,Governor of Connecticut
Thomas Fitch,1774-07-18T00:00:00Z,Governor of Connecticut
William Leete,1683-04-16T00:00:00Z,Governor of Connecticut
Robert Treat,1710-07-12T00:00:00Z,Governor of Connecticut
Roger Wolcott,1767-05-17T00:00:00Z,Governor of Connecticut
Theophilus Eaton,1658-01-07T00:00:00Z,Governor of Connecticut
Thomas Welles,1659-01-14T00:00:00Z,Governor of Connecticut
George Fenwick,1657-01-01T00:00:00Z,Governor of Connecticut
Lou Rell,2014-03-22T00:00:00Z,Governor of Connecticut
William Smallwood,1792-02-14T00:00:00Z,Governor of Maryland
Levin Winder,1819-07-01T00:00:00Z,Governor of Maryland
John Hoskins Stone,1804-10-05T00:00:00Z,Governor of Maryland
Charles Carnan Ridgely,1829-07-17T00:00:00Z,Governor of Maryland
Daniel Martin,1831-07-08T00:00:00Z,Governor of Maryland
George Howard,1846-08-02T00:00:00Z,Governor of Maryland
William Grason,1868-07-02T00:00:00Z,Governor of Maryland
George Wilbur Peck,1916-04-16T00:00:00Z,Governor of Wisconsin
William H. Upham,1924-07-02T00:00:00Z,Governor of Wisconsin
Edward Scofield,1925-02-03T00:00:00Z,Governor of Wisconsin
Francis E. McGovern,1946-05-16T00:00:00Z,Governor of Wisconsin
Emanuel L. Philipp,1925-06-15T00:00:00Z,Governor of Wisconsin
"Walter J. Kohler, Sr.",1940-04-21T00:00:00Z,Governor of Wisconsin
Julius P. Heil,1949-11-30T00:00:00Z,Governor of Wisconsin
Thomas Swann,1883-07-24T00:00:00Z,Governor of Maryland
Philip Francis Thomas,1890-10-02T00:00:00Z,Governor of Maryland
John Walter Smith,1925-04-19T00:00:00Z,Governor of Maryland
Edward Lloyd,1834-06-02T00:00:00Z,Governor of Maryland
Thomas Sim Lee,1819-11-09T00:00:00Z,Governor of Maryland
Francis Thomas,1876-01-22T00:00:00Z,Governor of Maryland
Fitzhugh Lee,1905-04-28T00:00:00Z,Governor of Virginia
Beverley Randolph,1797-02-07T00:00:00Z,Governor of Virginia
John Tyler,1813-01-06T00:00:00Z,Governor of Virginia
William M. Tuck,1983-06-09T00:00:00Z,Governor of Virginia
Westmoreland Davis,1942-09-07T00:00:00Z,Governor of Virginia
John Munford Gregory,1884-04-09T00:00:00Z,Governor of Virginia
John Page,1808-10-11T00:00:00Z,Governor of Virginia
