name,dod,gov_of
Bruce King,2009-11-13T00:00:00Z,Governor of New Mexico
Washington Ellsworth Lindsey,1926-04-05T00:00:00Z,Governor of New Mexico
William C. McDonald,1918-04-11T00:00:00Z,Governor of New Mexico
Albino Pérez,1837-08-08T00:00:00Z,Governor of New Mexico
Mariano Chaves,1845-01-01T00:00:00Z,Governor of New Mexico
Santiago Abreú,1837-08-08T00:00:00Z,Governor of New Mexico
James Whitcomb,1852-10-04T00:00:00Z,Governor of Indiana
Samuel M. Ralston,1925-10-14T00:00:00Z,Governor of Indiana
Robert D. Orr,2004-03-10T00:00:00Z,Governor of Indiana
Otis R. Bowen,2013-05-04T00:00:00Z,Governor of Indiana
Paul V. McNutt,1955-03-24T00:00:00Z,Governor of Indiana
Elisha Dyer,1906-11-29T00:00:00Z,Governor of Rhode Island
Charles Jackson,1876-01-21T00:00:00Z,Governor of Rhode Island
Christopher Del Sesto,1973-12-27T00:00:00Z,Governor of Rhode Island
Dennis J. Roberts,1994-06-30T00:00:00Z,Governor of Rhode Island
Emery J. San Souci,1936-08-10T00:00:00Z,Governor of Rhode Island
Calvin Coolidge,1933-01-05T00:00:00Z,Governor of Massachusetts
"Carroll A. Campbell, Jr.",2005-12-07T00:00:00Z,Governor of South Carolina
Andrew Pickens,1838-07-01T00:00:00Z,Governor of South Carolina
LeRoy Collins,1991-03-12T00:00:00Z,Governor of Florida
Fred P. Cone,1948-07-28T00:00:00Z,Governor of Florida
Noah Noble,1844-02-08T00:00:00Z,Governor of Indiana
Frank Hanly,1920-08-01T00:00:00Z,Governor of Indiana
James D. Williams,1880-11-20T00:00:00Z,Governor of Indiana
George N. Craig,1992-12-17T00:00:00Z,Governor of Indiana
James P. Goodrich,1940-08-15T00:00:00Z,Governor of Indiana
Harold W. Handley,1972-08-30T00:00:00Z,Governor of Indiana
Increase Sumner,1799-06-07T00:00:00Z,Governor of Massachusetts
William Lewis Douglas,1924-09-17T00:00:00Z,Governor of Massachusetts
John Anthony Volpe,1994-11-11T00:00:00Z,Governor of Massachusetts
William B. Washburn,1887-10-05T00:00:00Z,Governor of Massachusetts
Endicott Peabody,1997-12-01T00:00:00Z,Governor of Massachusetts
Frank A. Briggs,1898-08-09T00:00:00Z,Governor of North Dakota
Thomas H. Moodie,1948-03-03T00:00:00Z,Governor of North Dakota
William L. Guy,2013-04-26T00:00:00Z,Governor of North Dakota
George Sinner,2018-03-09T00:00:00Z,Governor of North Dakota
Frank White,1940-03-23T00:00:00Z,Governor of North Dakota
Lynn Frazier,1947-01-11T00:00:00Z,Governor of North Dakota
Francis P. Fleming,1908-12-20T00:00:00Z,Governor of Florida
Henry L. Mitchell,1903-10-14T00:00:00Z,Governor of Florida
David S. Walker,1891-07-20T00:00:00Z,Governor of Florida
C. Farris Bryant,2002-03-01T00:00:00Z,Governor of Florida
James E. Broome,1883-11-23T00:00:00Z,Governor of Florida
Daniel T. McCarty,1953-09-28T00:00:00Z,Governor of Florida
Samuel Dinsmoor,1835-03-15T00:00:00Z,Governor of New Hampshire
Samuel W. Hale,1891-10-06T00:00:00Z,Governor of New Hampshire
Samuel W. Hale,1891-10-16T00:00:00Z,Governor of New Hampshire
Walter Harriman,1884-07-25T00:00:00Z,Governor of New Hampshire
William Badger,1852-09-21T00:00:00Z,Governor of New Hampshire
William Haile,1876-07-22T00:00:00Z,Governor of New Hampshire
Jeremiah Smith,1842-09-21T00:00:00Z,Governor of New Hampshire
Lee E. Emerson,1976-05-21T00:00:00Z,Governor of Vermont
Joseph B. Johnson,1986-10-25T00:00:00Z,Governor of Vermont
Ezra Butler,1838-07-12T00:00:00Z,Governor of Vermont
Horace Fairbanks,1888-03-17T00:00:00Z,Governor of Vermont
Cornelius P. Van Ness,1852-12-15T00:00:00Z,Governor of Vermont
Philip H. Hoff,2018-04-26T00:00:00Z,Governor of Vermont
Albert O. Brown,1937-03-28T00:00:00Z,Governor of New Hampshire
Hugh Gallen,1982-12-29T00:00:00Z,Governor of New Hampshire
Hugh Gregg,2003-09-24T00:00:00Z,Governor of New Hampshire
Rolland H. Spaulding,1942-03-14T00:00:00Z,Governor of New Hampshire
Ezekiel A. Straw,1882-10-23T00:00:00Z,Governor of New Hampshire
Ralph Metcalf,1858-08-26T00:00:00Z,Governor of New Hampshire
Frank W. Rollins,1915-10-27T00:00:00Z,Governor of New Hampshire
Samuel E. Pingree,1922-06-01T00:00:00Z,Governor of Vermont
Paul Brigham,1824-06-15T00:00:00Z,Governor of Vermont
Silas H. Jennison,1849-09-30T00:00:00Z,Governor of Vermont
Jonas Galusha,1834-09-24T00:00:00Z,Governor of Vermont
Charles Paine,1853-07-06T00:00:00Z,Governor of Vermont
Martin Chittenden,1840-09-05T00:00:00Z,Governor of Vermont
Grover Cleveland,1908-06-24T00:00:00Z,Governor of New York
Henry Johnson,1864-09-04T00:00:00Z,Governor of Louisiana
Jacques Villeré,1830-03-07T00:00:00Z,Governor of Louisiana
William C. C. Claiborne,1817-11-23T00:00:00Z,Governor of Louisiana
Pierre Derbigny,1829-10-06T00:00:00Z,Governor of Louisiana
William Pitt Kellogg,1918-08-10T00:00:00Z,Governor of Louisiana
Jacques Dupré,1846-09-14T00:00:00Z,Governor of Louisiana
Henry S. Thibodaux,1827-10-23T00:00:00Z,Governor of Louisiana
Henry B. Quinby,1924-02-08T00:00:00Z,Governor of New Hampshire
Hiram A. Tuttle,1911-02-10T00:00:00Z,Governor of New Hampshire
"Samuel Dinsmoor, Jr.",1869-02-24T00:00:00Z,Governor of New Hampshire
John Hardy Steele,1865-07-03T00:00:00Z,Governor of New Hampshire
John W. King,1996-08-09T00:00:00Z,Governor of New Hampshire
Lane Dwinell,1997-03-27T00:00:00Z,Governor of New Hampshire
Matthew Harvey,1866-04-07T00:00:00Z,Governor of New Hampshire
Ezra P. Savage,1920-01-08T00:00:00Z,Governor of Nebraska
John H. Mickey,1910-06-02T00:00:00Z,Governor of Nebraska
James W. Dawes,1918-10-08T00:00:00Z,Governor of Nebraska
Lorenzo Crounse,1909-05-13T00:00:00Z,Governor of Nebraska
William A. Poynter,1909-04-05T00:00:00Z,Governor of Nebraska
Silas A. Holcomb,1920-04-25T00:00:00Z,Governor of Nebraska
Keith Neville,1959-12-04T00:00:00Z,Governor of Nebraska
Norbert Tiemann,2012-06-19T00:00:00Z,Governor of Nebraska
Franklin Delano Roosevelt,1945-04-12T00:00:00Z,Governor of New York
Paul A. Dever,1958-04-11T00:00:00Z,Governor of Massachusetts
John Q. A. Brackett,1918-04-06T00:00:00Z,Governor of Massachusetts
Joseph B. Ely,1956-06-13T00:00:00Z,Governor of Massachusetts
Alexander H. Rice,1895-07-22T00:00:00Z,Governor of Massachusetts
George D. Robinson,1896-02-22T00:00:00Z,Governor of Massachusetts
Roger Wolcott,1900-12-21T00:00:00Z,Governor of Massachusetts
Frederic T. Greenhalge,1896-03-05T00:00:00Z,Governor of Massachusetts
James Michael Curley,1958-11-12T00:00:00Z,Governor of Massachusetts
George S. Boutwell,1905-02-27T00:00:00Z,Governor of Massachusetts
Caleb Strong,1819-11-07T00:00:00Z,Governor of Massachusetts
George N. Briggs,1861-09-12T00:00:00Z,Governor of Massachusetts
"Meldrim Thomson, Jr.",2001-04-19T00:00:00Z,Governor of New Hampshire
Moody Currier,1898-08-23T00:00:00Z,Governor of New Hampshire
Nathaniel B. Baker,1876-09-11T00:00:00Z,Governor of New Hampshire
Nathaniel S. Berry,1894-04-27T00:00:00Z,Governor of New Hampshire
Nathaniel Head,1883-11-12T00:00:00Z,Governor of New Hampshire
Robert O. Blood,1975-08-03T00:00:00Z,Governor of New Hampshire
Robert P. Bass,1960-07-29T00:00:00Z,Governor of New Hampshire
James Hopkins Adams,1861-07-13T00:00:00Z,Governor of South Carolina
John Drayton,1822-11-27T00:00:00Z,Governor of South Carolina
"John Gardiner Richards, Jr.",1941-10-09T00:00:00Z,Governor of South Carolina
John Gary Evans,1942-06-27T00:00:00Z,Governor of South Carolina
John Geddes,1828-03-04T00:00:00Z,Governor of South Carolina
John Lyde Wilson,1849-02-12T00:00:00Z,Governor of South Carolina
John Mathews,1802-11-17T00:00:00Z,Governor of South Carolina
Joseph Alston,1816-09-19T00:00:00Z,Governor of South Carolina
Richard Manning Jefferies,1964-04-20T00:00:00Z,Governor of South Carolina
John Hugh Means,1862-08-30T00:00:00Z,Governor of South Carolina
Daniel Henry Chamberlain,1907-04-13T00:00:00Z,Governor of South Carolina
David Johnson,1855-01-07T00:00:00Z,Governor of South Carolina
David Rogerson Williams,1830-11-17T00:00:00Z,Governor of South Carolina
Duncan Clinch Heyward,1943-01-23T00:00:00Z,Governor of South Carolina
"Franklin J. Moses, Jr.",1906-12-11T00:00:00Z,Governor of South Carolina
Richard Irvine Manning III,1931-09-11T00:00:00Z,Governor of South Carolina
James Burchill Richardson,1836-04-28T00:00:00Z,Governor of South Carolina
Albert E. Mead,1913-03-19T00:00:00Z,Governor of Washington
Arthur B. Langlie,1966-07-24T00:00:00Z,Governor of Washington
John Spellman,2018-01-16T00:00:00Z,Governor of Washington
John H. Bartlett,1952-03-19T00:00:00Z,Governor of New Hampshire
Francis P. Murphy,1958-12-19T00:00:00Z,Governor of New Hampshire
Frederick Smyth,1899-04-22T00:00:00Z,Governor of New Hampshire
Nahum J. Bachelder,1934-04-22T00:00:00Z,Governor of New Hampshire
Joseph A. Gilmore,1867-04-07T00:00:00Z,Governor of New Hampshire
George A. Ramsdell,1900-11-16T00:00:00Z,Governor of New Hampshire
John Butler Smith,1914-08-10T00:00:00Z,Governor of New Hampshire
John Milton,1865-04-01T00:00:00Z,Governor of Florida
Abraham K. Allison,1893-07-08T00:00:00Z,Governor of Florida
Park Trammell,1936-05-08T00:00:00Z,Governor of Florida
Charley Eugene Johns,1990-01-23T00:00:00Z,Governor of Florida
Thomas Brown,1867-08-24T00:00:00Z,Governor of Florida
William D. Bloxham,1911-03-15T00:00:00Z,Governor of Florida
Edward A. Perry,1889-10-15T00:00:00Z,Governor of Florida
George Clinton,1812-04-20T00:00:00Z,Governor of New York
Fred H. Brown,1955-02-03T00:00:00Z,Governor of New Hampshire
Charles William Tobey,1953-07-24T00:00:00Z,Governor of New Hampshire
Samuel D. Felker,1932-11-14T00:00:00Z,Governor of New Hampshire
Isaac Hill,1851-03-22T00:00:00Z,Governor of New Hampshire
Charles H. Bell,1893-11-11T00:00:00Z,Governor of New Hampshire
Samuel Bell,1850-12-23T00:00:00Z,Governor of New Hampshire
Jared W. Williams,1864-09-29T00:00:00Z,Governor of New Hampshire
Harry G. Leslie,1937-12-10T00:00:00Z,Governor of Indiana
Ira Joy Chase,1895-05-11T00:00:00Z,Governor of Indiana
James B. Ray,1848-08-04T00:00:00Z,Governor of Indiana
Jonathan Jennings,1834-07-26T00:00:00Z,Governor of Indiana
Matthew E. Welsh,1995-05-28T00:00:00Z,Governor of Indiana
Paris C. Dunning,1884-05-09T00:00:00Z,Governor of Indiana
Ralph F. Gates,1978-07-28T00:00:00Z,Governor of Indiana
Charles K. Williams,1853-03-09T00:00:00Z,Governor of Vermont
William H. Seward,1872-10-10T00:00:00Z,Governor of New York
Levi P. Morton,1920-05-16T00:00:00Z,Governor of New York
W. Haydon Burns,1987-11-22T00:00:00Z,Governor of Florida
Napoleon B. Broward,1910-10-01T00:00:00Z,Governor of Florida
Fuller Warren,1973-09-23T00:00:00Z,Governor of Florida
Claude R. Kirk,2011-09-28T00:00:00Z,Governor of Florida
William Dunn Moseley,1863-01-04T00:00:00Z,Governor of Florida
Lawton Chiles,1998-12-12T00:00:00Z,Governor of Florida
Joshua Baker,1885-04-16T00:00:00Z,Governor of Louisiana
Henry C. Warmoth,1931-09-30T00:00:00Z,Governor of Louisiana
Francis T. Nicholls,1912-01-04T00:00:00Z,Governor of Louisiana
Louis A. Wiltz,1881-10-16T00:00:00Z,Governor of Louisiana
Luther E. Hall,1921-11-06T00:00:00Z,Governor of Louisiana
Oramel H. Simpson,1932-11-17T00:00:00Z,Governor of Louisiana
Martin Frederick Ansel,1945-08-23T00:00:00Z,Governor of South Carolina
Miles Benjamin McSweeney,1921-07-04T00:00:00Z,Governor of South Carolina
Patrick Noble,1840-04-07T00:00:00Z,Governor of South Carolina
Ransome Judson Williams,1970-01-07T00:00:00Z,Governor of South Carolina
Rawlins Lowndes,1800-08-24T00:00:00Z,Governor of South Carolina
Richard Irvine Manning I,1836-05-01T00:00:00Z,Governor of South Carolina
Robert Archer Cooper,1953-08-07T00:00:00Z,Governor of South Carolina
John Page,1865-09-08T00:00:00Z,Governor of New Hampshire
John Sullivan,1795-01-23T00:00:00Z,Governor of New Hampshire
Joseph M. Harper,1865-01-15T00:00:00Z,Governor of New Hampshire
Walter R. Peterson,2011-06-01T00:00:00Z,Governor of New Hampshire
James A. Weston,1895-05-08T00:00:00Z,Governor of New Hampshire
Robert Evander McNair,2007-11-17T00:00:00Z,Governor of South Carolina
Robert Francis Withers Allston,1864-04-07T00:00:00Z,Governor of South Carolina
"Thomas Bennett, Jr.",1865-01-30T00:00:00Z,Governor of South Carolina
Thomas Gordon McLeod,1932-12-11T00:00:00Z,Governor of South Carolina
Whitemarsh Benjamin Seabrook,1855-04-16T00:00:00Z,Governor of South Carolina
William Henry Gist,1874-09-30T00:00:00Z,Governor of South Carolina
William Moultrie,1805-09-27T00:00:00Z,Governor of South Carolina
Wilson Godfrey Harvey,1932-10-07T00:00:00Z,Governor of South Carolina
Arthur Middleton,1737-09-17T00:00:00Z,Governor of South Carolina
Robert Gibbes,1715-06-24T00:00:00Z,Governor of South Carolina
Dewitt Clinton Senter,1898-06-14T00:00:00Z,Governor of Tennessee
John C. Brown,1889-08-17T00:00:00Z,Governor of Tennessee
Dixy Lee Ray,1994-01-02T00:00:00Z,Governor of Washington
Samuel G. Cosgrove,1909-03-28T00:00:00Z,Governor of Washington
Mike Lowry,2017-05-01T00:00:00Z,Governor of Washington
Louis F. Hart,1929-12-04T00:00:00Z,Governor of Washington
Marion E. Hay,1933-11-21T00:00:00Z,Governor of Washington
Charles Poletti,2002-08-08T00:00:00Z,Governor of New York
John T. Hoffman,1888-03-24T00:00:00Z,Governor of New York
Alonzo B. Cornell,1904-10-15T00:00:00Z,Governor of New York
Enos T. Throop,1874-11-01T00:00:00Z,Governor of New York
William C. Bouck,1859-04-19T00:00:00Z,Governor of New York
William Sulzer,1941-11-06T00:00:00Z,Governor of New York
James K. Polk,1849-06-15T00:00:00Z,Governor of Tennessee
Daniel D. Tompkins,1825-06-11T00:00:00Z,Governor of New York
Samuel Jones Tilden,1886-08-04T00:00:00Z,Governor of New York
John Jay,1829-05-17T00:00:00Z,Governor of New York
Charles Evans Hughes,1948-08-27T00:00:00Z,Governor of New York
James Sullivan,1808-12-10T00:00:00Z,Governor of Massachusetts
Samuel Turell Armstrong,1850-03-26T00:00:00Z,Governor of Massachusetts
William Eustis,1825-02-06T00:00:00Z,Governor of Massachusetts
Alexander Bullock,1882-01-17T00:00:00Z,Governor of Massachusetts
Grant Sawyer,1996-02-19T00:00:00Z,Governor of Nevada
Mike O'Callaghan,2004-03-05T00:00:00Z,Governor of Nevada
Charles C. Stevenson,1890-09-21T00:00:00Z,Governor of Nevada
Frank Bell,1927-02-13T00:00:00Z,Governor of Nevada
John Henry Kinkead,1904-08-15T00:00:00Z,Governor of Nevada
Theodore Roosevelt,1919-01-06T00:00:00Z,Governor of New York
Henry D. Hatfield,1962-10-23T00:00:00Z,Governor of West Virginia
Arthur I. Boreman,1896-04-19T00:00:00Z,Governor of West Virginia
William C. Marland,1965-11-26T00:00:00Z,Governor of West Virginia
George W. Atkinson,1925-04-04T00:00:00Z,Governor of West Virginia
Howard Mason Gore,1947-06-20T00:00:00Z,Governor of West Virginia
Albert B. White,1941-07-03T00:00:00Z,Governor of West Virginia
J. Howard Edmondson,1971-11-17T00:00:00Z,Governor of Oklahoma
James B. A. Robertson,1938-03-07T00:00:00Z,Governor of Oklahoma
Henry S. Johnston,1965-01-07T00:00:00Z,Governor of Oklahoma
Jack C. Walton,1949-11-25T00:00:00Z,Governor of Oklahoma
Lee Cruce,1933-01-16T00:00:00Z,Governor of Oklahoma
Leon C. Phillips,1958-03-27T00:00:00Z,Governor of Oklahoma
Martin E. Trapp,1951-07-26T00:00:00Z,Governor of Oklahoma
Horatio Seymour,1886-02-12T00:00:00Z,Governor of New York
John Tayler,1829-03-19T00:00:00Z,Governor of New York
David B. Hill,1910-10-20T00:00:00Z,Governor of New York
Edward Salomon,1909-04-21T00:00:00Z,Governor of Wisconsin
Lucius Fairchild,1896-05-23T00:00:00Z,Governor of Wisconsin
Adlai Stevenson II,1965-07-14T00:00:00Z,Governor of Illinois
James D. Black,1938-08-05T00:00:00Z,Governor of Kentucky
Augustus E. Willson,1931-08-24T00:00:00Z,Governor of Kentucky
J. Proctor Knott,1911-06-18T00:00:00Z,Governor of Kentucky
Beriah Magoffin,1885-02-28T00:00:00Z,Governor of Kentucky
Luke Pryor Blackburn,1887-09-14T00:00:00Z,Governor of Kentucky
Dwight H. Green,1958-02-20T00:00:00Z,Governor of Illinois
Richard Yates,1936-04-11T00:00:00Z,Governor of Illinois
Robert S. Kerr,1963-01-01T00:00:00Z,Governor of Oklahoma
William Allen Egan,1984-05-06T00:00:00Z,Governor of Alaska
Jay Hammond,2005-08-02T00:00:00Z,Governor of Alaska
Kenny Guinn,2010-07-22T00:00:00Z,Governor of Nevada
Roswell K. Colcord,1939-10-30T00:00:00Z,Governor of Nevada
Morley Griswold,1951-10-03T00:00:00Z,Governor of Nevada
James G. Scrugham,1945-06-23T00:00:00Z,Governor of Nevada
Daniel D. T. Farnsworth,1892-12-05T00:00:00Z,Governor of West Virginia
Jacob B. Jackson,1893-12-11T00:00:00Z,Governor of West Virginia
William A. MacCorkle,1930-09-24T00:00:00Z,Governor of West Virginia
William E. Stevenson,1883-11-29T00:00:00Z,Governor of West Virginia
Clarence W. Meadows,1961-09-12T00:00:00Z,Governor of West Virginia
William E. Glasscock,1925-04-12T00:00:00Z,Governor of West Virginia
Ossian B. Hart,1874-03-18T00:00:00Z,Governor of Florida
Harrison Reed,1899-05-25T00:00:00Z,Governor of Florida
Marcellus Stearns,1891-12-08T00:00:00Z,Governor of Florida
George Franklin Drew,1900-09-26T00:00:00Z,Governor of Florida
John Adair,1840-05-19T00:00:00Z,Governor of Kentucky
John Breathitt,1834-02-21T00:00:00Z,Governor of Kentucky
George Madison,1816-10-14T00:00:00Z,Governor of Kentucky
Robert P. Letcher,1861-01-24T00:00:00Z,Governor of Kentucky
Christopher Greenup,1818-04-27T00:00:00Z,Governor of Kentucky
John L. Helm,1867-09-08T00:00:00Z,Governor of Kentucky
William Owsley,1862-12-09T00:00:00Z,Governor of Kentucky
Henry G. Blasdel,1900-07-26T00:00:00Z,Governor of Nevada
Fred B. Balzar,1934-03-21T00:00:00Z,Governor of Nevada
Jewett W. Adams,1920-06-18T00:00:00Z,Governor of Nevada
Charles H. Russell,1989-09-13T00:00:00Z,Governor of Nevada
Aretas B. Fleming,1923-10-13T00:00:00Z,Governor of West Virginia
Herman G. Kump,1962-02-14T00:00:00Z,Governor of West Virginia
P. B. S. Pinchback,1921-12-21T00:00:00Z,Governor of Louisiana
Richard W. Leche,1965-02-22T00:00:00Z,Governor of Louisiana
Earl Long,1960-09-05T00:00:00Z,Governor of Louisiana
Juan Procopio Bassecourt y Bryas,1820-04-12T00:00:00Z,Governor of Louisiana
Luis de Las Casas,1800-01-01T00:00:00Z,Governor of Louisiana
William Gannaway Brownlow,1877-04-29T00:00:00Z,Governor of Tennessee
Albert S. Marks,1891-11-04T00:00:00Z,Governor of Tennessee
William McKinley,1901-09-14T00:00:00Z,Governor of Ohio
John Young,1852-04-23T00:00:00Z,Governor of New York
Washington Hunt,1867-02-02T00:00:00Z,Governor of New York
Joseph C. Yates,1837-03-19T00:00:00Z,Governor of New York
Horace White,1943-11-27T00:00:00Z,Governor of New York
Mario Cuomo,2015-01-01T00:00:00Z,Governor of New York
Roswell P. Flower,1899-05-12T00:00:00Z,Governor of New York
Morgan Lewis,1844-04-07T00:00:00Z,Governor of New York
Nathaniel Pitcher,1836-05-25T00:00:00Z,Governor of New York
Myron H. Clark,1892-08-23T00:00:00Z,Governor of New York
John Alden Dix,1928-04-09T00:00:00Z,Governor of New York
Charles Martin,1946-09-22T00:00:00Z,Governor of Oregon
George Earle Chamberlain,1928-07-09T00:00:00Z,Governor of Oregon
John Whiteaker,1902-10-02T00:00:00Z,Governor of Oregon
Julius Meier,1937-07-14T00:00:00Z,Governor of Oregon
Victor G. Atiyeh,2014-07-20T00:00:00Z,Governor of Oregon
William J. Holloway,1970-01-27T00:00:00Z,Governor of Oklahoma
Johnston Murray,1974-04-16T00:00:00Z,Governor of Oklahoma
E. W. Marland,1941-10-03T00:00:00Z,Governor of Oklahoma
Henry Bellmon,2009-09-29T00:00:00Z,Governor of Oklahoma
Charles N. Haskell,1933-07-05T00:00:00Z,Governor of Oklahoma
William H. Murray,1956-10-15T00:00:00Z,Governor of Oklahoma
David Hall,2016-05-06T00:00:00Z,Governor of Oklahoma
Frank W. Higgins,1907-02-12T00:00:00Z,Governor of New York
DeWitt Clinton,1828-02-11T00:00:00Z,Governor of New York
Nathan L. Miller,1953-06-26T00:00:00Z,Governor of New York
Frank S. Black,1913-03-22T00:00:00Z,Governor of New York
Frank Emerson,1931-02-18T00:00:00Z,Governor of Wyoming
John B. Kendrick,1933-11-03T00:00:00Z,Governor of Wyoming
Alonzo M. Clark,1952-10-12T00:00:00Z,Governor of Wyoming
Stanley K. Hathaway,2005-10-04T00:00:00Z,Governor of Wyoming
Clifford Hansen,2009-10-20T00:00:00Z,Governor of Wyoming
Raymond D. Gary,1993-12-11T00:00:00Z,Governor of Oklahoma
Robert L. Williams,1948-04-10T00:00:00Z,Governor of Oklahoma
Roy J. Turner,1973-06-11T00:00:00Z,Governor of Oklahoma
Andrew Johnson,1875-07-31T00:00:00Z,Governor of Tennessee
Jay Bowerman,1957-10-25T00:00:00Z,Governor of Oregon
Walter M. Pierce,1954-03-27T00:00:00Z,Governor of Oregon
Elmo Smith,1968-07-15T00:00:00Z,Governor of Oregon
Frank W. Benson,1911-04-14T00:00:00Z,Governor of Oregon
Douglas McKay,1959-07-22T00:00:00Z,Governor of Oregon
George Lemuel Woods,1890-01-07T00:00:00Z,Governor of Oregon
Theodore Thurston Geer,1924-02-21T00:00:00Z,Governor of Oregon
Rutherford B. Hayes,1893-01-17T00:00:00Z,Governor of Ohio
Manuel de Montiano,1762-01-06T00:00:00Z,Governor of Florida
Dewey F. Bartlett,1979-03-01T00:00:00Z,Governor of Oklahoma
Warren Green,1945-04-27T00:00:00Z,Governor of South Dakota
Arthur C. Mellette,1896-05-25T00:00:00Z,Governor of South Dakota
Walter Dale Miller,2015-09-28T00:00:00Z,Governor of South Dakota
George S. Mickelson,1993-04-19T00:00:00Z,Governor of South Dakota
Harry Kelly,1971-02-08T00:00:00Z,Governor of Michigan
Robert McClelland,1880-08-30T00:00:00Z,Governor of Michigan
Aaron T. Bliss,1906-09-16T00:00:00Z,Governor of Michigan
Hazen S. Pingree,1901-06-18T00:00:00Z,Governor of Michigan
Henry P. Baldwin,1892-12-31T00:00:00Z,Governor of Michigan
Henry H. Crapo,1869-07-23T00:00:00Z,Governor of Michigan
Albert Edson Sleeper,1934-05-13T00:00:00Z,Governor of Michigan
Ernest Lister,1919-06-14T00:00:00Z,Governor of Washington
Roland H. Hartley,1952-09-21T00:00:00Z,Governor of Washington
Henry McBride,1937-10-07T00:00:00Z,Governor of Washington
Albert Rosellini,2011-10-10T00:00:00Z,Governor of Washington
I. L. Patterson,1929-12-21T00:00:00Z,Governor of Oregon
Zenas Ferry Moody,1917-03-14T00:00:00Z,Governor of Oregon
A. C. Gibbs,1886-12-29T00:00:00Z,Governor of Oregon
Thomas E. Dewey,1971-03-16T00:00:00Z,Governor of New York
William Averell Harriman,1986-07-26T00:00:00Z,Governor of New York
Martin H. Glynn,1924-12-14T00:00:00Z,Governor of New York
William L. Marcy,1857-07-04T00:00:00Z,Governor of New York
George White,1953-12-15T00:00:00Z,Governor of Ohio
Michael DiSalle,1981-09-14T00:00:00Z,Governor of Ohio
John J. Gilligan,2013-08-26T00:00:00Z,Governor of Ohio
Harry Lyman Davis,1950-05-21T00:00:00Z,Governor of Ohio
C. William O'Neill,1978-08-20T00:00:00Z,Governor of Ohio
Thomas J. Herbert,1974-10-26T00:00:00Z,Governor of Ohio
Lucius Robinson,1891-03-23T00:00:00Z,Governor of New York
Edwin D. Morgan,1883-02-14T00:00:00Z,Governor of New York
"Benjamin Barker Odell, Jr.",1926-05-09T00:00:00Z,Governor of New York
Hamilton Fish,1893-09-07T00:00:00Z,Governor of New York
John Adams Dix,1879-04-21T00:00:00Z,Governor of New York
Roger D. Branigin,1975-11-19T00:00:00Z,Governor of Indiana
Samuel Bigger,1846-09-09T00:00:00Z,Governor of Indiana
Warren T. McCray,1938-12-19T00:00:00Z,Governor of Indiana
Winfield T. Durbin,1928-12-18T00:00:00Z,Governor of Indiana
Albert G. Porter,1897-05-03T00:00:00Z,Governor of Indiana
Spessard Lindsey Holland,1971-11-06T00:00:00Z,Governor of Florida
Doyle E. Carlton,1972-10-25T00:00:00Z,Governor of Florida
David Sholtz,1953-03-21T00:00:00Z,Governor of Florida
Millard F. Caldwell,1984-10-23T00:00:00Z,Governor of Florida
Madison S. Perry,1865-03-01T00:00:00Z,Governor of Florida
William Marvin,1902-07-09T00:00:00Z,Governor of Florida
Thomas A. Osborn,1898-02-04T00:00:00Z,Governor of Kansas
John W. Geary,1873-02-08T00:00:00Z,Governor of Kansas
Benjamin S. Paulen,1961-07-11T00:00:00Z,Governor of Kansas
Robert J. Walker,1869-11-11T00:00:00Z,Governor of Kansas
"John Anderson, Jr.",2014-09-15T00:00:00Z,Governor of Kansas
Arch A. Moore,2015-01-07T00:00:00Z,Governor of West Virginia
William Wallace Barron,2002-11-12T00:00:00Z,Governor of West Virginia
Emmet D. Boyle,1926-01-03T00:00:00Z,Governor of Nevada
John J. Jacob,1893-11-24T00:00:00Z,Governor of West Virginia
Okey L. Patteson,1989-07-03T00:00:00Z,Governor of West Virginia
Joseph Toole,1929-03-11T00:00:00Z,Governor of Montana
John E. Rickards,1927-12-26T00:00:00Z,Governor of Montana
Sam C. Ford,1961-11-25T00:00:00Z,Governor of Montana
Robert Burns Smith,1908-11-16T00:00:00Z,Governor of Montana
J. Hugo Aronson,1978-02-25T00:00:00Z,Governor of Montana
Wally Hickel,2010-05-07T00:00:00Z,Governor of Alaska
Lewis Cass,1866-06-17T00:00:00Z,Governor of Michigan
Andrew Parsons,1855-06-06T00:00:00Z,Governor of Michigan
George W. Romney,1995-07-26T00:00:00Z,Governor of Michigan
Stevens T. Mason,1843-01-04T00:00:00Z,Governor of Michigan
Oswald West,1960-08-22T00:00:00Z,Governor of Oregon
Tom McCall,1983-01-08T00:00:00Z,Governor of Oregon
Charles A. Sprague,1969-03-13T00:00:00Z,Governor of Oregon
Earl Snell,1947-10-28T00:00:00Z,Governor of Oregon
George Law Curry,1878-07-28T00:00:00Z,Governor of Oregon
Robert D. Holmes,1976-06-06T00:00:00Z,Governor of Oregon
Kintzing Prichette,1869-04-12T00:00:00Z,Governor of Oregon
Epaphroditus Ransom,1859-11-11T00:00:00Z,Governor of Michigan
Murray Van Wagoner,1986-06-12T00:00:00Z,Governor of Michigan
Josiah Begole,1896-06-05T00:00:00Z,Governor of Michigan
John Swainson,1994-05-13T00:00:00Z,Governor of Michigan
Alpheus Felch,1896-06-13T00:00:00Z,Governor of Michigan
John S. Barry,1870-01-14T00:00:00Z,Governor of Michigan
Charles Seymour Whitman,1947-03-29T00:00:00Z,Governor of New York
