fn,date,lat,lon,cname
904,Johns Hopkins University
906,Queens College
906,Wesleyan University
907,Pratt Institute
907,Rhode Island School of Design
908,New York Law School
911,Pomona College
912,City University
912,City University
912,City University
914,York University
914,New York University
914,University of Chicago
914,York University
918,Columbia University
919,Pratt Institute
922,Tokyo University
925,University of Florida
927,Columbia College
927,Weizmann Institute of Science
927,Columbia University
929,Australian National University
929,National University
929,National University
929,National University
930,Pace University
933,Baylor University
935,Columbia University
939,University of Chicago
941,University of Chicago
942,Occidental College
944,Boston University
945,University of Southern California
950,Fisk University
950,Oberlin College
950,Talladega College
951,University of Arizona
952,Columbia University
952,University of Virginia
953,Carnegie Mellon University
953,Lawrence University
960,Colgate University
963,Boston University
968,Stanford University
969,Tufts University
969,University of Georgia
969,Vanderbilt University
971,University of Rochester
972,University of Arizona
973,Cornell University
973,Manhattan College
973,Pratt Institute
973,University of Virginia
978,York University
978,New York University
978,Northwestern University
978,York University
982,University of Pennsylvania
984,York University
984,Cornell University
984,New York University
984,University of Mary
984,York University
986,Columbia College
986,Swarthmore College
986,"University of California, Los Angeles"
986,University of Southern California
989,Wesley College
990,Columbia University
990,Yale University
992,Michigan State University
992,Williams College
994,Morgan State University
995,Bowdoin College
995,"University of California, Los Angeles"
997,University of Pennsylvania
1002,Smith College
1005,Massachusetts Institute of Technology
1005,University of Chicago
1005,University of Illinois
1006,Canisius College
1007,Bennington College
1009,McGill University
1015,Columbia University
1016,St. John's University
1016,St. John's University
1022,City University
1022,York University
1022,City University
1022,City University
1022,New York University
1022,York University
1024,Harvard University
1025,McGill University
1026,United States Naval Academy
1031,Princeton University
1034,San Francisco Art Institute
1034,University of Georgia
1036,York University
1036,New York University
1036,York University
1037,Fordham University
1040,Syracuse University
1042,Princeton University
1047,University of Texas
1049,Columbia University
1051,University of Chicago
1052,York University
1052,Hofstra University
1052,New York University
1052,Union College
1052,York University
1053,California Institute of Technology
1053,Columbia University
1054,University of Mississippi
1054,University of Texas
1057,Reed College
1057,University of Chicago
1059,Pratt Institute
1063,University of Pennsylvania
1067,Harvard University
1071,Georgetown University
1071,University of Illinois
1074,University of Puget Sound
1075,York University
1075,New York University
1075,York University
1077,Northwestern University
1081,Emerson College
1085,Gonzaga University
1085,University of Washington
1086,York University
1086,New York University
1086,Yale University
1086,York University
1087,Manhattan College
1089,University of Georgia
1090,Columbia University
1093,Columbia University
1095,Pennsylvania State University
1095,University of Pennsylvania
1096,Duke University
1096,Queens College
1096,Spelman College
1097,Northwestern University
1101,York University
1101,Columbia University
1101,New York University
1101,York University
1102,Stanford University
1106,Illinois Institute of Technology
1106,University of Illinois
1109,York University
1109,Bates College
1109,Boston University
1109,New York University
1109,York University
1111,Bryn Mawr College
1112,Purdue University
1115,St. Paul's College
1117,Southeastern University
1118,Baylor University
1119,City University
1119,City University
1119,City University
1119,Columbia University
1120,Columbia College
1120,York University
1120,New York University
1120,York University
1121,Wayne State University
1122,State University of New York at Buffalo
1123,University of Southern California
1124,Amherst College
1125,Academy of Arts
1125,University of Chicago
1127,New York Medical College
1128,Columbia University
1129,Cornell University
1130,Williams College
1131,University of Rochester
1133,Columbia University
1139,Columbia University
1141,York University
1141,Manhattan College
1141,New York University
1141,York University
1142,Elon College
1144,Columbia University
1144,Morehouse College
1145,Goucher College
1145,Harvard University
1145,Smith College
1145,University of Iowa
1147,Princeton University
1149,National Institute of Education
1149,Harvard University
1150,York University
1150,New York University
1150,York University
1155,Brigham Young University
1155,Brigham Young University
1159,Duke University
1163,Colgate University
1165,University of Leeds
1165,University of Texas
1167,Columbia University
1167,Touro College
1167,University of Notre Dame
1167,Yeshiva University
1168,Union College
1169,York University
1169,New York University
1169,York University
1181,Yale University
1189,Yeshiva University
1192,Middlebury College
1192,University of Connecticut
1193,Harvard University
1193,University of Pittsburgh
1194,University of Calgary
1195,Duke University
1195,University of Washington
1195,Wayne State University
1199,York University
1199,New York University
1199,Yale University
1199,York University
